"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.02,8,47,5
"2","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.05,20,65,4
"3","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.1,41,78,3
"4","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.2,83,110,3
"5","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.02,8,74,6
"6","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.05,20,81,5
"7","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.1,41,88,4
"8","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.2,83,113,2
"9","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.02,8,62,7
"10","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.05,20,67,4
"11","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.1,41,84,3
"12","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.2,83,117,3
"13","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.02,8,51,6
"14","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.05,20,65,4
"15","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.1,41,79,4
"16","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.2,83,122,4
"17","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.02,8,47,6
"18","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.05,20,65,5
"19","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.1,41,71,3
"20","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.2,83,103,2
"21","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.02,8,49,6
"22","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.05,20,63,6
"23","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.1,41,76,4
"24","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.2,83,112,3
"25","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.02,8,50,5
