"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.02,8,17,12,0
"2","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.05,20,61,34,0
"3","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.1,41,84,57,0
"4","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.2,83,140,107,0
"5","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.02,8,73,20,0
"6","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.05,20,87,34,0
"7","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.1,41,110,57,0
"8","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.2,83,158,104,0
"9","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.02,8,34,21,0
"10","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.05,20,70,43,0
"11","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.1,41,100,68,0
"12","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.2,83,156,119,0
"13","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.02,8,9,9,0
"14","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.05,20,63,34,0
"15","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.1,41,85,56,0
"16","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.2,83,143,110,0
"17","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.02,8,8,8,0
"18","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.05,20,60,34,0
"19","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.1,41,90,62,0
"20","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.2,83,139,110,0
"21","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.02,8,9,9,0
"22","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.05,20,23,23,0
"23","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.1,41,82,56,0
"24","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.2,83,134,106,0
"25","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.02,8,37,16,0
"26","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.05,20,61,35,0
"27","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.1,41,89,61,0
"28","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.2,83,134,106,0
"29","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.02,8,14,12,0
"30","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.05,20,26,24,0
"31","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.1,41,85,66,0
"32","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.2,83,129,110,0
"33","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.02,8,12,11,0
"34","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.05,20,25,24,0
"35","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.1,41,107,62,0
"36","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.2,83,151,105,0
"37","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.02,8,12,11,0
"38","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.05,20,26,25,0
"39","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.1,41,55,50,0
"40","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.2,83,128,112,0
"41","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.02,8,10,10,0
"42","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.05,20,22,22,0
"43","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.1,41,77,53,0
"44","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.2,83,129,104,0
"45","ml_EUAir_pp_0.01_012_.mpx","EUAir","0.01","012",0.02,8,17,15,0
