"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.02,8,17,3
"2","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.05,20,60,6
"3","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.1,41,80,5
"4","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.2,83,128,5
"5","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.02,8,73,10
"6","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.05,20,85,9
"7","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.1,41,104,9
"8","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.2,83,140,6
"9","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.02,8,33,11
"10","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.05,20,68,9
"11","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.1,41,95,9
"12","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.2,83,139,7
"13","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.02,8,9,2
"14","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.05,20,63,9
"15","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.1,41,82,8
"16","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.2,83,129,6
"17","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.02,8,8,1
"18","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.05,20,58,11
"19","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.1,41,80,10
"20","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.2,83,132,7
"21","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.02,8,9,2
"22","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.05,20,23,2
