"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.02,1,4,3,0
"2","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.05,3,7,3,0
"3","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.1,7,27,12,0
"4","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.2,14,39,14,0
"5","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.02,1,31,8,0
"6","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.05,3,37,8,0
"7","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.1,7,40,8,0
"8","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.2,14,49,14,0
"9","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.02,1,12,6,0
"10","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.05,3,18,6,0
"11","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.1,7,26,9,0
"12","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.2,14,36,14,0
"13","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.02,1,3,3,0
"14","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.05,3,14,7,0
"15","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.1,7,27,9,0
"16","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.2,14,36,14,0
"17","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.02,1,15,6,0
"18","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.05,3,19,6,0
"19","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.1,7,26,8,0
"20","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.2,14,41,15,0
"21","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.02,1,12,5,0
"22","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.05,3,15,5,0
"23","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.1,7,24,7,0
"24","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.2,14,36,14,0
"25","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.02,1,2,2,0
"26","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.05,3,10,6,0
"27","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.1,7,23,8,0
"28","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.2,14,34,16,0
"29","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.02,1,11,4,0
"30","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.05,3,24,7,0
"31","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.1,7,36,8,0
"32","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.2,14,45,14,0
"33","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.02,1,2,2,0
"34","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.05,3,5,3,0
"35","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.1,7,25,8,0
"36","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.2,14,35,15,0
"37","ml_Lazega_pp_0.01_010_.mpx","Lazega","0.01","010",0.02,1,28,9,0
