"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.02,1,2,2
"2","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.05,3,21,6
"3","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.1,7,26,5
"4","ml_Lazega_pp_0.01_001_.mpx","Lazega","0.01","001",0.2,14,33,5
"5","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.02,1,2,2
"6","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.05,3,6,2
"7","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.1,7,42,9
"8","ml_Lazega_pp_0.01_002_.mpx","Lazega","0.01","002",0.2,14,47,9
"9","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.02,1,3,3
"10","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.05,3,17,6
"11","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.1,7,20,6
"12","ml_Lazega_pp_0.01_003_.mpx","Lazega","0.01","003",0.2,14,26,6
"13","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.02,1,3,3
"14","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.05,3,12,4
"15","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.1,7,18,4
"16","ml_Lazega_pp_0.01_004_.mpx","Lazega","0.01","004",0.2,14,32,3
"17","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.02,1,1,1
"18","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.05,3,17,5
"19","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.1,7,22,5
"20","ml_Lazega_pp_0.01_005_.mpx","Lazega","0.01","005",0.2,14,33,5
"21","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.02,1,5,4
"22","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.05,3,7,4
"23","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.1,7,19,4
"24","ml_Lazega_pp_0.01_006_.mpx","Lazega","0.01","006",0.2,14,37,7
"25","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.02,1,4,3
"26","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.05,3,6,3
"27","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.1,7,14,3
"28","ml_Lazega_pp_0.01_007_.mpx","Lazega","0.01","007",0.2,14,30,5
"29","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.02,1,3,3
"30","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.05,3,16,5
"31","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.1,7,25,5
"32","ml_Lazega_pp_0.01_008_.mpx","Lazega","0.01","008",0.2,14,39,5
"33","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.02,1,2,2
"34","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.05,3,7,3
"35","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.1,7,19,4
"36","ml_Lazega_pp_0.01_009_.mpx","Lazega","0.01","009",0.2,14,35,5
"37","ml_Lazega_pp_0.01_010_.mpx","Lazega","0.01","010",0.02,1,3,3
"38","ml_Lazega_pp_0.01_010_.mpx","Lazega","0.01","010",0.05,3,32,7
"39","ml_Lazega_pp_0.01_010_.mpx","Lazega","0.01","010",0.1,7,37,7
"40","ml_Lazega_pp_0.01_010_.mpx","Lazega","0.01","010",0.2,14,42,7
"41","ml_Lazega_pp_0.01_011_.mpx","Lazega","0.01","011",0.02,1,17,8
"42","ml_Lazega_pp_0.01_011_.mpx","Lazega","0.01","011",0.05,3,19,8
"43","ml_Lazega_pp_0.01_011_.mpx","Lazega","0.01","011",0.1,7,25,5
"44","ml_Lazega_pp_0.01_011_.mpx","Lazega","0.01","011",0.2,14,33,4
"45","ml_Lazega_pp_0.01_012_.mpx","Lazega","0.01","012",0.02,1,1,1
"46","ml_Lazega_pp_0.01_012_.mpx","Lazega","0.01","012",0.05,3,9,4
"47","ml_Lazega_pp_0.01_012_.mpx","Lazega","0.01","012",0.1,7,34,9
"48","ml_Lazega_pp_0.01_012_.mpx","Lazega","0.01","012",0.2,14,49,8
"49","ml_Lazega_pp_0.01_013_.mpx","Lazega","0.01","013",0.02,1,1,1
"50","ml_Lazega_pp_0.01_013_.mpx","Lazega","0.01","013",0.05,3,5,3
"51","ml_Lazega_pp_0.01_013_.mpx","Lazega","0.01","013",0.1,7,29,10
"52","ml_Lazega_pp_0.01_013_.mpx","Lazega","0.01","013",0.2,14,35,9
"53","ml_Lazega_pp_0.01_014_.mpx","Lazega","0.01","014",0.02,1,22,6
"54","ml_Lazega_pp_0.01_014_.mpx","Lazega","0.01","014",0.05,3,24,6
"55","ml_Lazega_pp_0.01_014_.mpx","Lazega","0.01","014",0.1,7,27,6
"56","ml_Lazega_pp_0.01_014_.mpx","Lazega","0.01","014",0.2,14,41,8
"57","ml_Lazega_pp_0.01_015_.mpx","Lazega","0.01","015",0.02,1,1,1
"58","ml_Lazega_pp_0.01_015_.mpx","Lazega","0.01","015",0.05,3,4,2
"59","ml_Lazega_pp_0.01_015_.mpx","Lazega","0.01","015",0.1,7,8,2
"60","ml_Lazega_pp_0.01_015_.mpx","Lazega","0.01","015",0.2,14,32,9
"61","ml_Lazega_pp_0.01_016_.mpx","Lazega","0.01","016",0.02,1,13,7
"62","ml_Lazega_pp_0.01_016_.mpx","Lazega","0.01","016",0.05,3,15,7
"63","ml_Lazega_pp_0.01_016_.mpx","Lazega","0.01","016",0.1,7,24,5
"64","ml_Lazega_pp_0.01_016_.mpx","Lazega","0.01","016",0.2,14,31,5
"65","ml_Lazega_pp_0.01_017_.mpx","Lazega","0.01","017",0.02,1,1,1
"66","ml_Lazega_pp_0.01_017_.mpx","Lazega","0.01","017",0.05,3,29,11
"67","ml_Lazega_pp_0.01_017_.mpx","Lazega","0.01","017",0.1,7,39,11
"68","ml_Lazega_pp_0.01_017_.mpx","Lazega","0.01","017",0.2,14,44,6
"69","ml_Lazega_pp_0.01_018_.mpx","Lazega","0.01","018",0.02,1,15,6
"70","ml_Lazega_pp_0.01_018_.mpx","Lazega","0.01","018",0.05,3,17,6
"71","ml_Lazega_pp_0.01_018_.mpx","Lazega","0.01","018",0.1,7,19,4
"72","ml_Lazega_pp_0.01_018_.mpx","Lazega","0.01","018",0.2,14,32,5
"73","ml_Lazega_pp_0.01_019_.mpx","Lazega","0.01","019",0.02,1,1,1
"74","ml_Lazega_pp_0.01_019_.mpx","Lazega","0.01","019",0.05,3,6,2
"75","ml_Lazega_pp_0.01_019_.mpx","Lazega","0.01","019",0.1,7,9,2
"76","ml_Lazega_pp_0.01_019_.mpx","Lazega","0.01","019",0.2,14,25,3
"77","ml_Lazega_pp_0.01_020_.mpx","Lazega","0.01","020",0.02,1,24,10
"78","ml_Lazega_pp_0.01_020_.mpx","Lazega","0.01","020",0.05,3,24,7
"79","ml_Lazega_pp_0.01_020_.mpx","Lazega","0.01","020",0.1,7,32,7
"80","ml_Lazega_pp_0.01_020_.mpx","Lazega","0.01","020",0.2,14,41,7
"81","ml_Lazega_pp_0.01_021_.mpx","Lazega","0.01","021",0.02,1,42,11
"82","ml_Lazega_pp_0.01_021_.mpx","Lazega","0.01","021",0.05,3,42,7
