"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.02,1,4,3
"2","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.05,3,4,2
"3","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.1,6,8,2
"4","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.2,12,18,2
"5","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.02,1,4,3
"6","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.05,3,8,3
"7","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.1,6,12,3
"8","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.2,12,17,2
"9","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.02,1,2,2
"10","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.05,3,5,2
"11","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.1,6,12,2
"12","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.2,12,17,2
"13","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.02,1,3,2
"14","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.05,3,9,3
"15","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.1,6,14,3
"16","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.2,12,20,3
"17","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.02,1,1,1
"18","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.05,3,3,1
"19","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.1,6,9,2
"20","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.2,12,16,2
"21","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.02,1,1,1
"22","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.05,3,4,2
"23","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.1,6,11,2
"24","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.2,12,15,2
"25","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.02,1,1,1
"26","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.05,3,11,4
"27","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.1,6,16,4
"28","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.2,12,22,4
"29","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.02,1,1,1
"30","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.05,3,7,3
"31","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.1,6,10,2
"32","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.2,12,14,2
"33","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.02,1,2,2
"34","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.05,3,5,2
"35","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.1,6,11,2
"36","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.2,12,17,2
"37","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.02,1,1,1
"38","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.05,3,3,1
"39","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.1,6,6,1
"40","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.2,12,16,3
"41","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.02,1,2,2
"42","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.05,3,6,2
"43","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.1,6,10,2
"44","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.2,12,16,3
"45","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.02,1,1,1
"46","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.05,3,12,4
"47","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.1,6,16,4
"48","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.2,12,21,4
"49","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.02,1,1,1
"50","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.05,3,6,3
"51","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.1,6,11,2
"52","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.2,12,21,3
"53","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.02,1,2,2
"54","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.05,3,6,2
"55","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.1,6,11,2
"56","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.2,12,22,3
"57","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.02,1,3,3
"58","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.05,3,8,3
"59","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.1,6,11,3
"60","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.2,12,20,4
"61","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.02,1,2,2
"62","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.05,3,6,2
"63","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.1,6,12,2
"64","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.2,12,18,2
"65","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.02,1,2,2
"66","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.05,3,6,2
"67","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.1,6,9,2
"68","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.2,12,14,2
