"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.02,1,2,2
"2","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.05,3,7,3
"3","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.1,6,9,2
"4","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.2,12,17,2
"5","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.02,1,4,3
"6","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.05,3,8,3
"7","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.1,6,14,3
"8","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.2,12,17,2
"9","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.02,1,2,2
"10","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.05,3,6,2
"11","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.1,6,10,2
"12","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.2,12,18,2
"13","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.02,1,2,2
"14","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.05,3,7,2
"15","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.1,6,14,3
"16","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.2,12,20,3
"17","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.02,1,2,2
"18","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.05,3,4,2
"19","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.1,6,7,2
"20","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.2,12,17,2
"21","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.02,1,7,4
"22","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.05,3,8,4
"23","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.1,6,11,3
"24","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.2,12,15,2
"25","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.02,1,2,2
"26","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.05,3,4,2
"27","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.1,6,14,4
"28","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.2,12,19,3
"29","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.02,1,6,3
"30","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.05,3,8,3
"31","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.1,6,10,2
"32","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.2,12,15,2
"33","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.02,1,3,2
"34","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.05,3,7,2
"35","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.1,6,12,2
"36","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.2,12,20,2
"37","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.02,1,1,1
"38","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.05,3,3,1
"39","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.1,6,6,1
"40","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.2,12,17,3
"41","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.02,1,1,1
"42","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.05,3,5,2
"43","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.1,6,10,2
"44","ml_aucs_pp_0.01_011_.mpx","aucs","0.01","011",0.2,12,15,2
"45","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.02,1,2,2
"46","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.05,3,5,2
"47","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.1,6,17,4
"48","ml_aucs_pp_0.01_012_.mpx","aucs","0.01","012",0.2,12,20,3
"49","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.02,1,5,5
"50","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.05,3,8,5
"51","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.1,6,13,3
"52","ml_aucs_pp_0.01_013_.mpx","aucs","0.01","013",0.2,12,21,3
"53","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.02,1,1,1
"54","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.05,3,4,2
"55","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.1,6,9,2
"56","ml_aucs_pp_0.01_014_.mpx","aucs","0.01","014",0.2,12,19,2
"57","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.02,1,1,1
"58","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.05,3,6,3
"59","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.1,6,12,3
"60","ml_aucs_pp_0.01_015_.mpx","aucs","0.01","015",0.2,12,19,3
"61","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.02,1,2,2
"62","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.05,3,7,2
"63","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.1,6,12,2
"64","ml_aucs_pp_0.01_016_.mpx","aucs","0.01","016",0.2,12,20,3
"65","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.02,1,1,1
"66","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.05,3,4,2
"67","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.1,6,9,2
"68","ml_aucs_pp_0.01_017_.mpx","aucs","0.01","017",0.2,12,14,2
"69","ml_aucs_pp_0.01_018_.mpx","aucs","0.01","018",0.02,1,1,1
"70","ml_aucs_pp_0.01_018_.mpx","aucs","0.01","018",0.05,3,5,3
"71","ml_aucs_pp_0.01_018_.mpx","aucs","0.01","018",0.1,6,10,3
"72","ml_aucs_pp_0.01_018_.mpx","aucs","0.01","018",0.2,12,15,2
"73","ml_aucs_pp_0.01_019_.mpx","aucs","0.01","019",0.02,1,6,5
"74","ml_aucs_pp_0.01_019_.mpx","aucs","0.01","019",0.05,3,7,3
"75","ml_aucs_pp_0.01_019_.mpx","aucs","0.01","019",0.1,6,14,4
"76","ml_aucs_pp_0.01_019_.mpx","aucs","0.01","019",0.2,12,17,2
"77","ml_aucs_pp_0.01_020_.mpx","aucs","0.01","020",0.02,1,6,4
"78","ml_aucs_pp_0.01_020_.mpx","aucs","0.01","020",0.05,3,12,4
"79","ml_aucs_pp_0.01_020_.mpx","aucs","0.01","020",0.1,6,13,3
"80","ml_aucs_pp_0.01_020_.mpx","aucs","0.01","020",0.2,12,18,3
"81","ml_aucs_pp_0.01_021_.mpx","aucs","0.01","021",0.02,1,6,4
"82","ml_aucs_pp_0.01_021_.mpx","aucs","0.01","021",0.05,3,7,2
"83","ml_aucs_pp_0.01_021_.mpx","aucs","0.01","021",0.1,6,13,4
"84","ml_aucs_pp_0.01_021_.mpx","aucs","0.01","021",0.2,12,19,3
"85","ml_aucs_pp_0.01_022_.mpx","aucs","0.01","022",0.02,1,1,1
"86","ml_aucs_pp_0.01_022_.mpx","aucs","0.01","022",0.05,3,4,2
"87","ml_aucs_pp_0.01_022_.mpx","aucs","0.01","022",0.1,6,10,3
"88","ml_aucs_pp_0.01_022_.mpx","aucs","0.01","022",0.2,12,14,2
"89","ml_aucs_pp_0.01_023_.mpx","aucs","0.01","023",0.02,1,1,1
"90","ml_aucs_pp_0.01_023_.mpx","aucs","0.01","023",0.05,3,5,3
"91","ml_aucs_pp_0.01_023_.mpx","aucs","0.01","023",0.1,6,10,3
"92","ml_aucs_pp_0.01_023_.mpx","aucs","0.01","023",0.2,12,18,3
"93","ml_aucs_pp_0.01_024_.mpx","aucs","0.01","024",0.02,1,3,2
"94","ml_aucs_pp_0.01_024_.mpx","aucs","0.01","024",0.05,3,6,2
"95","ml_aucs_pp_0.01_024_.mpx","aucs","0.01","024",0.1,6,10,2
"96","ml_aucs_pp_0.01_024_.mpx","aucs","0.01","024",0.2,12,17,2
"97","ml_aucs_pp_0.01_025_.mpx","aucs","0.01","025",0.02,1,10,6
"98","ml_aucs_pp_0.01_025_.mpx","aucs","0.01","025",0.05,3,13,6
"99","ml_aucs_pp_0.01_025_.mpx","aucs","0.01","025",0.1,6,14,4
"100","ml_aucs_pp_0.01_025_.mpx","aucs","0.01","025",0.2,12,22,4
"101","ml_aucs_pp_0.01_026_.mpx","aucs","0.01","026",0.02,1,3,3
"102","ml_aucs_pp_0.01_026_.mpx","aucs","0.01","026",0.05,3,5,3
"103","ml_aucs_pp_0.01_026_.mpx","aucs","0.01","026",0.1,6,13,3
"104","ml_aucs_pp_0.01_026_.mpx","aucs","0.01","026",0.2,12,17,2
"105","ml_aucs_pp_0.01_027_.mpx","aucs","0.01","027",0.02,1,4,3
"106","ml_aucs_pp_0.01_027_.mpx","aucs","0.01","027",0.05,3,5,3
"107","ml_aucs_pp_0.01_027_.mpx","aucs","0.01","027",0.1,6,9,2
"108","ml_aucs_pp_0.01_027_.mpx","aucs","0.01","027",0.2,12,18,3
"109","ml_aucs_pp_0.01_028_.mpx","aucs","0.01","028",0.02,1,2,2
"110","ml_aucs_pp_0.01_028_.mpx","aucs","0.01","028",0.05,3,10,4
"111","ml_aucs_pp_0.01_028_.mpx","aucs","0.01","028",0.1,6,11,3
"112","ml_aucs_pp_0.01_028_.mpx","aucs","0.01","028",0.2,12,23,3
"113","ml_aucs_pp_0.01_029_.mpx","aucs","0.01","029",0.02,1,3,3
"114","ml_aucs_pp_0.01_029_.mpx","aucs","0.01","029",0.05,3,5,3
"115","ml_aucs_pp_0.01_029_.mpx","aucs","0.01","029",0.1,6,8,3
"116","ml_aucs_pp_0.01_029_.mpx","aucs","0.01","029",0.2,12,14,2
"117","ml_aucs_pp_0.01_030_.mpx","aucs","0.01","030",0.02,1,3,3
"118","ml_aucs_pp_0.01_030_.mpx","aucs","0.01","030",0.05,3,5,3
"119","ml_aucs_pp_0.01_030_.mpx","aucs","0.01","030",0.1,6,12,3
"120","ml_aucs_pp_0.01_030_.mpx","aucs","0.01","030",0.2,12,18,3
"121","ml_aucs_pp_0.01_031_.mpx","aucs","0.01","031",0.02,1,1,1
"122","ml_aucs_pp_0.01_031_.mpx","aucs","0.01","031",0.05,3,10,4
"123","ml_aucs_pp_0.01_031_.mpx","aucs","0.01","031",0.1,6,13,3
"124","ml_aucs_pp_0.01_031_.mpx","aucs","0.01","031",0.2,12,15,2
"125","ml_aucs_pp_0.01_032_.mpx","aucs","0.01","032",0.02,1,1,1
"126","ml_aucs_pp_0.01_032_.mpx","aucs","0.01","032",0.05,3,7,4
"127","ml_aucs_pp_0.01_032_.mpx","aucs","0.01","032",0.1,6,10,3
"128","ml_aucs_pp_0.01_032_.mpx","aucs","0.01","032",0.2,12,18,3
"129","ml_aucs_pp_0.01_033_.mpx","aucs","0.01","033",0.02,1,2,2
"130","ml_aucs_pp_0.01_033_.mpx","aucs","0.01","033",0.05,3,11,5
"131","ml_aucs_pp_0.01_033_.mpx","aucs","0.01","033",0.1,6,14,4
"132","ml_aucs_pp_0.01_033_.mpx","aucs","0.01","033",0.2,12,19,3
"133","ml_aucs_pp_0.01_034_.mpx","aucs","0.01","034",0.02,1,3,3
"134","ml_aucs_pp_0.01_034_.mpx","aucs","0.01","034",0.05,3,5,3
"135","ml_aucs_pp_0.01_034_.mpx","aucs","0.01","034",0.1,6,7,2
"136","ml_aucs_pp_0.01_034_.mpx","aucs","0.01","034",0.2,12,15,3
"137","ml_aucs_pp_0.01_035_.mpx","aucs","0.01","035",0.02,1,5,4
"138","ml_aucs_pp_0.01_035_.mpx","aucs","0.01","035",0.05,3,10,5
"139","ml_aucs_pp_0.01_035_.mpx","aucs","0.01","035",0.1,6,13,3
"140","ml_aucs_pp_0.01_035_.mpx","aucs","0.01","035",0.2,12,20,2
"141","ml_aucs_pp_0.01_036_.mpx","aucs","0.01","036",0.02,1,2,2
"142","ml_aucs_pp_0.01_036_.mpx","aucs","0.01","036",0.05,3,5,2
"143","ml_aucs_pp_0.01_036_.mpx","aucs","0.01","036",0.1,6,10,2
"144","ml_aucs_pp_0.01_036_.mpx","aucs","0.01","036",0.2,12,15,2
"145","ml_aucs_pp_0.01_037_.mpx","aucs","0.01","037",0.02,1,1,1
"146","ml_aucs_pp_0.01_037_.mpx","aucs","0.01","037",0.05,3,6,2
"147","ml_aucs_pp_0.01_037_.mpx","aucs","0.01","037",0.1,6,9,2
"148","ml_aucs_pp_0.01_037_.mpx","aucs","0.01","037",0.2,12,16,2
"149","ml_aucs_pp_0.01_038_.mpx","aucs","0.01","038",0.02,1,2,2
"150","ml_aucs_pp_0.01_038_.mpx","aucs","0.01","038",0.05,3,6,2
"151","ml_aucs_pp_0.01_038_.mpx","aucs","0.01","038",0.1,6,12,4
"152","ml_aucs_pp_0.01_038_.mpx","aucs","0.01","038",0.2,12,20,4
"153","ml_aucs_pp_0.01_039_.mpx","aucs","0.01","039",0.02,1,2,2
"154","ml_aucs_pp_0.01_039_.mpx","aucs","0.01","039",0.05,3,9,4
"155","ml_aucs_pp_0.01_039_.mpx","aucs","0.01","039",0.1,6,12,4
"156","ml_aucs_pp_0.01_039_.mpx","aucs","0.01","039",0.2,12,18,3
"157","ml_aucs_pp_0.01_040_.mpx","aucs","0.01","040",0.02,1,1,1
"158","ml_aucs_pp_0.01_040_.mpx","aucs","0.01","040",0.05,3,6,3
"159","ml_aucs_pp_0.01_040_.mpx","aucs","0.01","040",0.1,6,15,4
"160","ml_aucs_pp_0.01_040_.mpx","aucs","0.01","040",0.2,12,22,3
"161","ml_aucs_pp_0.01_041_.mpx","aucs","0.01","041",0.02,1,1,1
"162","ml_aucs_pp_0.01_041_.mpx","aucs","0.01","041",0.05,3,6,2
"163","ml_aucs_pp_0.01_041_.mpx","aucs","0.01","041",0.1,6,10,2
"164","ml_aucs_pp_0.01_041_.mpx","aucs","0.01","041",0.2,12,19,2
"165","ml_aucs_pp_0.01_042_.mpx","aucs","0.01","042",0.02,1,3,2
"166","ml_aucs_pp_0.01_042_.mpx","aucs","0.01","042",0.05,3,9,3
"167","ml_aucs_pp_0.01_042_.mpx","aucs","0.01","042",0.1,6,15,3
"168","ml_aucs_pp_0.01_042_.mpx","aucs","0.01","042",0.2,12,20,3
"169","ml_aucs_pp_0.01_043_.mpx","aucs","0.01","043",0.02,1,2,2
"170","ml_aucs_pp_0.01_043_.mpx","aucs","0.01","043",0.05,3,7,2
"171","ml_aucs_pp_0.01_043_.mpx","aucs","0.01","043",0.1,6,12,2
