"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.02,1,1,1,0
"2","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.05,3,3,3,0
"3","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.1,6,8,8,0
"4","ml_aucs_pp_0.01_001_.mpx","aucs","0.01","001",0.2,12,17,16,0
"5","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.02,1,1,1,0
"6","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.05,3,3,3,0
"7","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.1,6,12,11,0
"8","ml_aucs_pp_0.01_002_.mpx","aucs","0.01","002",0.2,12,18,17,0
"9","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.02,1,2,2,0
"10","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.05,3,4,4,0
"11","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.1,6,8,8,0
"12","ml_aucs_pp_0.01_003_.mpx","aucs","0.01","003",0.2,12,15,15,0
"13","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.02,1,5,4,0
"14","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.05,3,9,8,0
"15","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.1,6,12,11,0
"16","ml_aucs_pp_0.01_004_.mpx","aucs","0.01","004",0.2,12,20,19,0
"17","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.02,1,2,2,0
"18","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.05,3,4,4,0
"19","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.1,6,7,7,0
"20","ml_aucs_pp_0.01_005_.mpx","aucs","0.01","005",0.2,12,14,14,0
"21","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.02,1,1,1,0
"22","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.05,3,3,3,0
"23","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.1,6,6,6,0
"24","ml_aucs_pp_0.01_006_.mpx","aucs","0.01","006",0.2,12,14,13,0
"25","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.02,1,10,5,0
"26","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.05,3,12,7,0
"27","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.1,6,16,11,0
"28","ml_aucs_pp_0.01_007_.mpx","aucs","0.01","007",0.2,12,24,18,0
"29","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.02,1,1,1,0
"30","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.05,3,10,7,0
"31","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.1,6,13,10,0
"32","ml_aucs_pp_0.01_008_.mpx","aucs","0.01","008",0.2,12,20,17,0
"33","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.02,1,1,1,0
"34","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.05,3,3,3,0
"35","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.1,6,8,7,0
"36","ml_aucs_pp_0.01_009_.mpx","aucs","0.01","009",0.2,12,16,15,0
"37","ml_aucs_pp_0.01_010_.mpx","aucs","0.01","010",0.02,1,1,1,0
