"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.02,4,10,8,0
"2","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.05,12,22,12,0
"3","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.1,24,41,24,0
"4","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.2,48,71,48,0
"5","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.02,4,13,4,0
"6","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.05,12,29,13,0
"7","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.1,24,43,24,0
"8","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.2,48,73,48,0
"9","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.02,4,8,6,0
"10","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.05,12,18,12,0
"11","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.1,24,33,25,0
"12","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.2,48,65,48,0
"13","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.02,4,12,5,0
"14","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.05,12,21,12,0
"15","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.1,24,38,24,0
"16","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.2,48,65,48,0
"17","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.02,4,12,6,0
"18","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.05,12,25,12,0
"19","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.1,24,44,24,0
"20","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.2,48,76,48,0
"21","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.02,4,7,5,0
"22","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.05,12,16,12,0
"23","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.1,24,29,24,0
"24","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.2,48,58,48,0
"25","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.02,4,8,5,0
"26","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.05,12,20,12,0
"27","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.1,24,38,24,0
"28","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.2,48,64,48,0
"29","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.02,4,9,5,0
"30","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.05,12,20,12,0
"31","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.1,24,34,24,0
"32","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.2,48,61,48,0
"33","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.02,4,5,4,0
"34","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.05,12,18,12,0
"35","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.1,24,36,25,0
"36","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.2,48,66,48,0
"37","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.02,4,13,5,0
"38","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.05,12,27,12,0
"39","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.1,24,41,24,0
"40","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.2,48,68,48,0
"41","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.02,4,11,4,0
"42","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.05,12,22,12,0
"43","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.1,24,37,25,0
"44","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.2,48,64,48,0
"45","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.02,4,6,4,0
"46","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.05,12,17,13,0
"47","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.1,24,31,24,0
"48","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.2,48,60,49,0
"49","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.02,4,7,6,0
"50","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.05,12,17,12,0
"51","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.1,24,30,24,0
"52","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.2,48,57,48,0
"53","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.02,4,13,6,0
"54","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.05,12,28,14,0
"55","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.1,24,43,24,0
"56","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.2,48,70,48,0
"57","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.02,4,12,5,0
"58","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.05,12,25,12,0
"59","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.1,24,38,25,0
"60","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.2,48,65,49,0
"61","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.02,4,12,4,0
"62","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.05,12,23,12,0
"63","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.1,24,41,24,0
"64","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.2,48,68,48,0
"65","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.02,4,9,5,0
"66","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.05,12,18,12,0
"67","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.1,24,34,24,0
"68","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.2,48,64,48,0
"69","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.02,4,5,4,0
"70","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.05,12,23,13,0
"71","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.1,24,38,24,0
"72","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.2,48,63,48,0
"73","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.02,4,10,5,0
"74","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.05,12,28,12,0
"75","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.1,24,46,25,0
"76","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.2,48,74,48,0
"77","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.02,4,9,4,0
"78","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.05,12,22,14,0
"79","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.1,24,37,24,0
"80","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.2,48,64,48,0
"81","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.02,4,5,4,0
"82","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.05,12,20,13,0
"83","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.1,24,35,24,0
"84","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.2,48,64,49,0
"85","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.02,4,10,4,0
"86","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.05,12,19,12,0
"87","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.1,24,35,24,0
"88","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.2,48,71,48,0
"89","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.02,4,6,4,0
"90","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.05,12,17,12,0
"91","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.1,24,30,25,0
"92","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.2,48,61,48,0
"93","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.02,4,5,5,0
"94","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.05,12,19,14,0
"95","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.1,24,36,24,0
"96","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.2,48,72,48,0
"97","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.02,4,10,6,0
"98","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.05,12,21,12,0
"99","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.1,24,35,25,0
"100","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.2,48,63,48,0
"101","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.02,4,9,6,0
"102","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.05,12,18,12,0
"103","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.1,24,34,24,0
"104","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.2,48,65,48,0
"105","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.02,4,5,4,0
"106","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.05,12,18,12,0
"107","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.1,24,35,24,0
"108","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.2,48,61,48,0
"109","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.02,4,5,4,0
"110","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.05,12,18,12,0
