"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.02,4,4,1
"2","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.05,12,16,3
"3","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.1,24,37,3
"4","ml_CKM_pp_0.01_001_.mpx","CKM","0.01","001",0.2,48,62,3
"5","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.02,4,4,1
"6","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.05,12,19,3
"7","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.1,24,32,3
"8","ml_CKM_pp_0.01_002_.mpx","CKM","0.01","002",0.2,48,63,5
"9","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.02,4,4,1
"10","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.05,12,14,2
"11","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.1,24,30,2
"12","ml_CKM_pp_0.01_003_.mpx","CKM","0.01","003",0.2,48,58,2
"13","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.02,4,10,5
"14","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.05,12,19,5
"15","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.1,24,35,5
"16","ml_CKM_pp_0.01_004_.mpx","CKM","0.01","004",0.2,48,58,3
"17","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.02,4,12,3
"18","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.05,12,23,4
"19","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.1,24,40,4
"20","ml_CKM_pp_0.01_005_.mpx","CKM","0.01","005",0.2,48,67,4
"21","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.02,4,9,3
"22","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.05,12,16,3
"23","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.1,24,31,3
"24","ml_CKM_pp_0.01_006_.mpx","CKM","0.01","006",0.2,48,60,3
"25","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.02,4,4,1
"26","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.05,12,12,1
"27","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.1,24,28,3
"28","ml_CKM_pp_0.01_007_.mpx","CKM","0.01","007",0.2,48,56,3
"29","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.02,4,7,3
"30","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.05,12,16,3
"31","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.1,24,33,3
"32","ml_CKM_pp_0.01_008_.mpx","CKM","0.01","008",0.2,48,57,2
"33","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.02,4,6,3
"34","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.05,12,14,3
"35","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.1,24,26,3
"36","ml_CKM_pp_0.01_009_.mpx","CKM","0.01","009",0.2,48,56,3
"37","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.02,4,5,2
"38","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.05,12,23,6
"39","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.1,24,36,6
"40","ml_CKM_pp_0.01_010_.mpx","CKM","0.01","010",0.2,48,59,5
"41","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.02,4,5,2
"42","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.05,12,15,3
"43","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.1,24,33,3
"44","ml_CKM_pp_0.01_011_.mpx","CKM","0.01","011",0.2,48,58,3
"45","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.02,4,4,1
"46","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.05,12,15,2
"47","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.1,24,33,2
"48","ml_CKM_pp_0.01_012_.mpx","CKM","0.01","012",0.2,48,61,2
"49","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.02,4,4,1
"50","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.05,12,15,2
"51","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.1,24,31,2
"52","ml_CKM_pp_0.01_013_.mpx","CKM","0.01","013",0.2,48,56,3
"53","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.02,4,4,1
"54","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.05,12,14,2
"55","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.1,24,33,4
"56","ml_CKM_pp_0.01_014_.mpx","CKM","0.01","014",0.2,48,58,4
"57","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.02,4,4,1
"58","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.05,12,17,3
"59","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.1,24,30,3
"60","ml_CKM_pp_0.01_015_.mpx","CKM","0.01","015",0.2,48,57,3
"61","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.02,4,4,1
"62","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.05,12,21,4
"63","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.1,24,37,4
"64","ml_CKM_pp_0.01_016_.mpx","CKM","0.01","016",0.2,48,61,4
"65","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.02,4,7,4
"66","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.05,12,16,4
"67","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.1,24,33,4
"68","ml_CKM_pp_0.01_017_.mpx","CKM","0.01","017",0.2,48,57,4
"69","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.02,4,10,4
"70","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.05,12,19,4
"71","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.1,24,30,4
"72","ml_CKM_pp_0.01_018_.mpx","CKM","0.01","018",0.2,48,58,4
"73","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.02,4,7,2
"74","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.05,12,16,2
"75","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.1,24,32,2
"76","ml_CKM_pp_0.01_019_.mpx","CKM","0.01","019",0.2,48,63,4
"77","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.02,4,4,1
"78","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.05,12,17,3
"79","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.1,24,32,3
"80","ml_CKM_pp_0.01_020_.mpx","CKM","0.01","020",0.2,48,56,3
"81","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.02,4,9,5
"82","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.05,12,17,5
"83","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.1,24,30,4
"84","ml_CKM_pp_0.01_021_.mpx","CKM","0.01","021",0.2,48,58,4
"85","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.02,4,6,2
"86","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.05,12,15,2
"87","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.1,24,29,3
"88","ml_CKM_pp_0.01_022_.mpx","CKM","0.01","022",0.2,48,61,4
"89","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.02,4,6,2
"90","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.05,12,15,2
"91","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.1,24,29,2
"92","ml_CKM_pp_0.01_023_.mpx","CKM","0.01","023",0.2,48,57,2
"93","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.02,4,5,2
"94","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.05,12,18,3
"95","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.1,24,34,3
"96","ml_CKM_pp_0.01_024_.mpx","CKM","0.01","024",0.2,48,64,4
"97","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.02,4,4,1
"98","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.05,12,12,1
"99","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.1,24,25,2
"100","ml_CKM_pp_0.01_025_.mpx","CKM","0.01","025",0.2,48,55,3
"101","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.02,4,4,1
"102","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.05,12,15,4
"103","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.1,24,31,4
"104","ml_CKM_pp_0.01_026_.mpx","CKM","0.01","026",0.2,48,58,4
"105","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.02,4,6,2
"106","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.05,12,15,3
"107","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.1,24,30,3
"108","ml_CKM_pp_0.01_027_.mpx","CKM","0.01","027",0.2,48,56,3
"109","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.02,4,5,2
"110","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.05,12,14,2
"111","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.1,24,28,2
"112","ml_CKM_pp_0.01_028_.mpx","CKM","0.01","028",0.2,48,56,2
"113","ml_CKM_pp_0.01_029_.mpx","CKM","0.01","029",0.02,4,5,2
"114","ml_CKM_pp_0.01_029_.mpx","CKM","0.01","029",0.05,12,13,2
"115","ml_CKM_pp_0.01_029_.mpx","CKM","0.01","029",0.1,24,27,2
"116","ml_CKM_pp_0.01_029_.mpx","CKM","0.01","029",0.2,48,57,4
"117","ml_CKM_pp_0.01_030_.mpx","CKM","0.01","030",0.02,4,5,2
"118","ml_CKM_pp_0.01_030_.mpx","CKM","0.01","030",0.05,12,17,4
"119","ml_CKM_pp_0.01_030_.mpx","CKM","0.01","030",0.1,24,31,4
"120","ml_CKM_pp_0.01_030_.mpx","CKM","0.01","030",0.2,48,56,4
"121","ml_CKM_pp_0.01_031_.mpx","CKM","0.01","031",0.02,4,4,1
"122","ml_CKM_pp_0.01_031_.mpx","CKM","0.01","031",0.05,12,12,1
"123","ml_CKM_pp_0.01_031_.mpx","CKM","0.01","031",0.1,24,28,3
"124","ml_CKM_pp_0.01_031_.mpx","CKM","0.01","031",0.2,48,53,3
"125","ml_CKM_pp_0.01_032_.mpx","CKM","0.01","032",0.02,4,5,2
"126","ml_CKM_pp_0.01_032_.mpx","CKM","0.01","032",0.05,12,15,2
"127","ml_CKM_pp_0.01_032_.mpx","CKM","0.01","032",0.1,24,29,2
"128","ml_CKM_pp_0.01_032_.mpx","CKM","0.01","032",0.2,48,58,3
"129","ml_CKM_pp_0.01_033_.mpx","CKM","0.01","033",0.02,4,5,2
"130","ml_CKM_pp_0.01_033_.mpx","CKM","0.01","033",0.05,12,18,3
"131","ml_CKM_pp_0.01_033_.mpx","CKM","0.01","033",0.1,24,32,3
"132","ml_CKM_pp_0.01_033_.mpx","CKM","0.01","033",0.2,48,61,4
"133","ml_CKM_pp_0.01_034_.mpx","CKM","0.01","034",0.02,4,4,1
"134","ml_CKM_pp_0.01_034_.mpx","CKM","0.01","034",0.05,12,12,1
"135","ml_CKM_pp_0.01_034_.mpx","CKM","0.01","034",0.1,24,29,3
"136","ml_CKM_pp_0.01_034_.mpx","CKM","0.01","034",0.2,48,58,3
"137","ml_CKM_pp_0.01_035_.mpx","CKM","0.01","035",0.02,4,4,1
"138","ml_CKM_pp_0.01_035_.mpx","CKM","0.01","035",0.05,12,13,2
"139","ml_CKM_pp_0.01_035_.mpx","CKM","0.01","035",0.1,24,29,2
"140","ml_CKM_pp_0.01_035_.mpx","CKM","0.01","035",0.2,48,59,4
"141","ml_CKM_pp_0.01_036_.mpx","CKM","0.01","036",0.02,4,5,2
"142","ml_CKM_pp_0.01_036_.mpx","CKM","0.01","036",0.05,12,14,2
"143","ml_CKM_pp_0.01_036_.mpx","CKM","0.01","036",0.1,24,30,2
"144","ml_CKM_pp_0.01_036_.mpx","CKM","0.01","036",0.2,48,58,4
"145","ml_CKM_pp_0.01_037_.mpx","CKM","0.01","037",0.02,4,4,1
"146","ml_CKM_pp_0.01_037_.mpx","CKM","0.01","037",0.05,12,12,1
"147","ml_CKM_pp_0.01_037_.mpx","CKM","0.01","037",0.1,24,29,2
"148","ml_CKM_pp_0.01_037_.mpx","CKM","0.01","037",0.2,48,57,2
"149","ml_CKM_pp_0.01_038_.mpx","CKM","0.01","038",0.02,4,7,3
"150","ml_CKM_pp_0.01_038_.mpx","CKM","0.01","038",0.05,12,16,3
"151","ml_CKM_pp_0.01_038_.mpx","CKM","0.01","038",0.1,24,28,3
"152","ml_CKM_pp_0.01_038_.mpx","CKM","0.01","038",0.2,48,54,3
"153","ml_CKM_pp_0.01_039_.mpx","CKM","0.01","039",0.02,4,5,2
"154","ml_CKM_pp_0.01_039_.mpx","CKM","0.01","039",0.05,12,14,2
"155","ml_CKM_pp_0.01_039_.mpx","CKM","0.01","039",0.1,24,29,3
"156","ml_CKM_pp_0.01_039_.mpx","CKM","0.01","039",0.2,48,57,3
"157","ml_CKM_pp_0.01_040_.mpx","CKM","0.01","040",0.02,4,6,2
"158","ml_CKM_pp_0.01_040_.mpx","CKM","0.01","040",0.05,12,14,2
"159","ml_CKM_pp_0.01_040_.mpx","CKM","0.01","040",0.1,24,27,2
"160","ml_CKM_pp_0.01_040_.mpx","CKM","0.01","040",0.2,48,54,3
"161","ml_CKM_pp_0.01_041_.mpx","CKM","0.01","041",0.02,4,5,2
"162","ml_CKM_pp_0.01_041_.mpx","CKM","0.01","041",0.05,12,16,2
"163","ml_CKM_pp_0.01_041_.mpx","CKM","0.01","041",0.1,24,34,5
"164","ml_CKM_pp_0.01_041_.mpx","CKM","0.01","041",0.2,48,61,3
"165","ml_CKM_pp_0.01_042_.mpx","CKM","0.01","042",0.02,4,8,3
"166","ml_CKM_pp_0.01_042_.mpx","CKM","0.01","042",0.05,12,20,3
"167","ml_CKM_pp_0.01_042_.mpx","CKM","0.01","042",0.1,24,35,3
"168","ml_CKM_pp_0.01_042_.mpx","CKM","0.01","042",0.2,48,60,3
"169","ml_CKM_pp_0.01_043_.mpx","CKM","0.01","043",0.02,4,4,1
"170","ml_CKM_pp_0.01_043_.mpx","CKM","0.01","043",0.05,12,13,2
"171","ml_CKM_pp_0.01_043_.mpx","CKM","0.01","043",0.1,24,30,4
"172","ml_CKM_pp_0.01_043_.mpx","CKM","0.01","043",0.2,48,60,3
"173","ml_CKM_pp_0.01_044_.mpx","CKM","0.01","044",0.02,4,5,2
"174","ml_CKM_pp_0.01_044_.mpx","CKM","0.01","044",0.05,12,13,2
"175","ml_CKM_pp_0.01_044_.mpx","CKM","0.01","044",0.1,24,32,4
"176","ml_CKM_pp_0.01_044_.mpx","CKM","0.01","044",0.2,48,57,3
"177","ml_CKM_pp_0.01_045_.mpx","CKM","0.01","045",0.02,4,4,1
"178","ml_CKM_pp_0.01_045_.mpx","CKM","0.01","045",0.05,12,12,1
"179","ml_CKM_pp_0.01_045_.mpx","CKM","0.01","045",0.1,24,29,3
"180","ml_CKM_pp_0.01_045_.mpx","CKM","0.01","045",0.2,48,55,3
"181","ml_CKM_pp_0.01_046_.mpx","CKM","0.01","046",0.02,4,5,2
"182","ml_CKM_pp_0.01_046_.mpx","CKM","0.01","046",0.05,12,15,2
"183","ml_CKM_pp_0.01_046_.mpx","CKM","0.01","046",0.1,24,30,2
"184","ml_CKM_pp_0.01_046_.mpx","CKM","0.01","046",0.2,48,57,3
"185","ml_CKM_pp_0.01_047_.mpx","CKM","0.01","047",0.02,4,5,2
"186","ml_CKM_pp_0.01_047_.mpx","CKM","0.01","047",0.05,12,13,2
"187","ml_CKM_pp_0.01_047_.mpx","CKM","0.01","047",0.1,24,33,3
"188","ml_CKM_pp_0.01_047_.mpx","CKM","0.01","047",0.2,48,60,3
"189","ml_CKM_pp_0.01_048_.mpx","CKM","0.01","048",0.02,4,4,1
"190","ml_CKM_pp_0.01_048_.mpx","CKM","0.01","048",0.05,12,15,2
"191","ml_CKM_pp_0.01_048_.mpx","CKM","0.01","048",0.1,24,31,3
"192","ml_CKM_pp_0.01_048_.mpx","CKM","0.01","048",0.2,48,63,3
"193","ml_CKM_pp_0.01_049_.mpx","CKM","0.01","049",0.02,4,4,1
"194","ml_CKM_pp_0.01_049_.mpx","CKM","0.01","049",0.05,12,14,2
"195","ml_CKM_pp_0.01_049_.mpx","CKM","0.01","049",0.1,24,28,2
"196","ml_CKM_pp_0.01_049_.mpx","CKM","0.01","049",0.2,48,57,4
"197","ml_CKM_pp_0.01_050_.mpx","CKM","0.01","050",0.02,4,4,1
"198","ml_CKM_pp_0.01_050_.mpx","CKM","0.01","050",0.05,12,12,1
"199","ml_CKM_pp_0.01_050_.mpx","CKM","0.01","050",0.1,24,26,2
"200","ml_CKM_pp_0.01_050_.mpx","CKM","0.01","050",0.2,48,53,2
