"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.02,20,27,27,0
"2","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.05,50,73,70,0
"3","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.1,100,138,132,0
"4","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.2,200,272,262,0
"5","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.02,20,29,28,0
"6","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.05,50,67,66,0
"7","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.1,100,141,136,0
"8","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.2,200,266,261,0
"9","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.02,20,32,29,0
"10","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.05,50,71,68,0
"11","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.1,100,134,128,0
"12","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.2,200,258,251,0
"13","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.02,20,30,29,0
"14","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.05,50,68,65,0
"15","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.1,100,136,132,0
"16","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.2,200,255,250,0
"17","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.02,20,31,29,0
"18","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.05,50,68,65,0
"19","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.1,100,138,135,0
"20","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.2,200,270,264,0
"21","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.02,20,29,29,0
"22","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.05,50,68,68,0
