"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.02,20,27,3
"2","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.05,50,71,3
"3","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.1,100,129,3
"4","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.2,200,262,4
"5","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.02,20,29,3
"6","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.05,50,65,3
"7","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.1,100,130,3
"8","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.2,200,251,3
"9","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.02,20,29,3
"10","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.05,50,69,4
"11","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.1,100,131,4
"12","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.2,200,250,4
"13","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.02,20,30,4
"14","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.05,50,68,4
"15","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.1,100,134,4
"16","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.2,200,244,4
"17","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.02,20,31,3
"18","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.05,50,67,3
"19","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.1,100,136,4
"20","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.2,200,256,4
"21","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.02,20,29,2
"22","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.05,50,66,3
"23","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.1,100,125,3
"24","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.2,200,241,3
"25","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.02,20,28,4
"26","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.05,50,71,4
"27","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.1,100,137,4
"28","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.2,200,248,3
"29","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.02,20,29,4
"30","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.05,50,79,5
