"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.02,20,32,20,0
"2","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.05,50,76,51,0
"3","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.1,100,135,102,0
"4","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.2,200,265,200,0
"5","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.02,20,30,20,0
"6","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.05,50,71,51,0
"7","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.1,100,137,101,0
"8","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.2,200,265,200,0
"9","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.02,20,33,20,0
"10","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.05,50,72,51,0
"11","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.1,100,139,100,0
"12","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.2,200,256,200,0
"13","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.02,20,33,21,0
"14","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.05,50,69,50,0
"15","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.1,100,131,101,0
"16","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.2,200,256,200,0
"17","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.02,20,32,20,0
"18","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.05,50,67,51,0
"19","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.1,100,141,100,0
"20","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.2,200,269,200,0
"21","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.02,20,27,20,0
"22","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.05,50,65,50,0
"23","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.1,100,125,100,0
"24","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.2,200,255,200,0
"25","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.02,20,31,20,0
"26","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.05,50,73,50,0
"27","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.1,100,145,100,0
"28","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.2,200,272,200,0
"29","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.02,20,34,21,0
"30","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.05,50,73,51,0
"31","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.1,100,153,100,0
"32","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.2,200,280,200,0
