"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.02,20,25,25,0
"2","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.05,50,60,59,0
"3","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.1,100,129,124,0
"4","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.2,200,254,245,0
"5","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.02,20,26,25,0
"6","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.05,50,63,61,0
"7","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.1,100,128,124,0
"8","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.2,200,260,255,0
"9","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.02,20,23,23,0
"10","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.05,50,58,58,0
"11","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.1,100,117,114,0
"12","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.2,200,234,227,0
"13","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.02,20,26,26,0
"14","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.05,50,61,61,0
"15","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.1,100,123,123,0
"16","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.2,200,242,241,0
"17","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.02,20,20,20,0
"18","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.05,50,51,51,0
"19","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.1,100,116,115,0
"20","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.2,200,236,235,0
"21","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.02,20,27,27,0
"22","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.05,50,63,63,0
"23","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.1,100,121,121,0
"24","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.2,200,243,243,0
"25","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.02,20,23,23,0
"26","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.05,50,63,63,0
"27","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.1,100,123,122,0
"28","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.2,200,246,243,0
"29","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.02,20,27,27,0
"30","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.05,50,59,59,0
"31","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.1,100,115,114,0
"32","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.2,200,252,246,0
"33","ml_erer_pp_0.01_009_.mpx","erer","0.01","009",0.02,20,24,24,0
"34","ml_erer_pp_0.01_009_.mpx","erer","0.01","009",0.05,50,65,63,0
"35","ml_erer_pp_0.01_009_.mpx","erer","0.01","009",0.1,100,128,125,0
"36","ml_erer_pp_0.01_009_.mpx","erer","0.01","009",0.2,200,260,252,0
"37","ml_erer_pp_0.01_010_.mpx","erer","0.01","010",0.02,20,26,26,0
"38","ml_erer_pp_0.01_010_.mpx","erer","0.01","010",0.05,50,67,66,0
"39","ml_erer_pp_0.01_010_.mpx","erer","0.01","010",0.1,100,131,128,0
"40","ml_erer_pp_0.01_010_.mpx","erer","0.01","010",0.2,200,246,242,0
"41","ml_erer_pp_0.01_011_.mpx","erer","0.01","011",0.02,20,24,23,0
"42","ml_erer_pp_0.01_011_.mpx","erer","0.01","011",0.05,50,59,58,0
"43","ml_erer_pp_0.01_011_.mpx","erer","0.01","011",0.1,100,120,117,0
"44","ml_erer_pp_0.01_011_.mpx","erer","0.01","011",0.2,200,246,239,0
"45","ml_erer_pp_0.01_012_.mpx","erer","0.01","012",0.02,20,35,33,0
"46","ml_erer_pp_0.01_012_.mpx","erer","0.01","012",0.05,50,75,72,0
