"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.02,20,25,2
"2","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.05,50,59,2
"3","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.1,100,124,3
"4","ml_erer_pp_0.01_001_.mpx","erer","0.01","001",0.2,200,242,3
"5","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.02,20,26,3
"6","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.05,50,62,4
"7","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.1,100,125,4
"8","ml_erer_pp_0.01_002_.mpx","erer","0.01","002",0.2,200,252,4
"9","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.02,20,23,3
"10","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.05,50,57,3
"11","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.1,100,115,3
"12","ml_erer_pp_0.01_003_.mpx","erer","0.01","003",0.2,200,229,4
"13","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.02,20,26,3
"14","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.05,50,61,3
"15","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.1,100,122,5
"16","ml_erer_pp_0.01_004_.mpx","erer","0.01","004",0.2,200,236,3
"17","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.02,20,20,1
"18","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.05,50,51,2
"19","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.1,100,114,3
"20","ml_erer_pp_0.01_005_.mpx","erer","0.01","005",0.2,200,230,3
"21","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.02,20,27,3
"22","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.05,50,63,3
"23","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.1,100,121,3
"24","ml_erer_pp_0.01_006_.mpx","erer","0.01","006",0.2,200,239,3
"25","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.02,20,23,2
"26","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.05,50,63,6
"27","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.1,100,123,6
"28","ml_erer_pp_0.01_007_.mpx","erer","0.01","007",0.2,200,244,6
"29","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.02,20,27,3
"30","ml_erer_pp_0.01_008_.mpx","erer","0.01","008",0.05,50,59,3
