"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.02,20,29,3
"2","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.05,50,74,4
"3","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.1,100,139,4
"4","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.2,200,271,4
"5","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.02,20,40,3
"6","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.05,50,92,3
"7","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.1,100,148,3
"8","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.2,200,256,4
"9","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.02,20,26,2
"10","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.05,50,74,3
"11","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.1,100,139,3
"12","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.2,200,254,3
"13","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.02,20,36,5
"14","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.05,50,79,5
"15","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.1,100,151,5
"16","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.2,200,262,4
"17","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.02,20,28,3
"18","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.05,50,70,3
"19","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.1,100,139,3
"20","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.2,200,255,3
"21","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.02,20,39,4
"22","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.05,50,93,4
"23","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.1,100,153,3
"24","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.2,200,266,3
"25","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.02,20,39,4
"26","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.05,50,80,4
"27","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.1,100,150,4
"28","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.2,200,272,4
"29","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.02,20,36,5
"30","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.05,50,85,5
"31","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.1,100,152,5
"32","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.2,200,279,3
"33","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.02,20,32,5
"34","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.05,50,76,4
"35","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.1,100,150,4
"36","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.2,200,265,4
"37","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.02,20,45,4
"38","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.05,50,94,4
"39","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.1,100,160,4
"40","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.2,200,272,3
"41","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.02,20,30,3
"42","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.05,50,78,5
"43","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.1,100,133,5
"44","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.2,200,252,5
"45","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.02,20,33,4
"46","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.05,50,82,4
"47","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.1,100,136,4
"48","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.2,200,270,4
"49","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.02,20,31,3
"50","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.05,50,85,4
"51","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.1,100,142,4
"52","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.2,200,260,3
"53","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.02,20,34,4
"54","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.05,50,70,4
"55","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.1,100,130,3
"56","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.2,200,260,3
"57","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.02,20,33,4
"58","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.05,50,78,4
"59","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.1,100,136,4
"60","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.2,200,256,4
"61","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.02,20,26,2
"62","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.05,50,73,4
"63","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.1,100,139,4
"64","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.2,200,268,4
"65","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.02,20,30,4
"66","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.05,50,78,4
"67","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.1,100,145,4
"68","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.2,200,272,6
"69","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.02,20,38,4
"70","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.05,50,84,4
"71","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.1,100,141,4
"72","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.2,200,287,3
"73","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.02,20,33,3
"74","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.05,50,71,3
"75","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.1,100,143,3
"76","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.2,200,253,3
"77","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.02,20,41,5
"78","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.05,50,75,5
"79","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.1,100,151,5
"80","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.2,200,272,5
"81","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.02,20,41,6
"82","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.05,50,75,6
"83","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.1,100,140,4
"84","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.2,200,267,4
"85","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.02,20,42,5
"86","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.05,50,85,5
"87","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.1,100,146,5
"88","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.2,200,263,4
"89","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.02,20,39,3
"90","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.05,50,83,3
"91","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.1,100,144,3
"92","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.2,200,269,3
"93","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.02,20,42,4
"94","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.05,50,92,4
"95","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.1,100,153,4
"96","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.2,200,271,4
"97","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.02,20,28,2
"98","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.05,50,74,2
"99","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.1,100,143,3
"100","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.2,200,264,3
"101","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.02,20,33,4
"102","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.05,50,71,4
"103","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.1,100,131,4
"104","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.2,200,254,4
"105","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.02,20,37,4
"106","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.05,50,79,3
"107","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.1,100,140,3
"108","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.2,200,262,3
"109","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.02,20,40,4
"110","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.05,50,74,4
"111","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.1,100,146,6
"112","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.2,200,265,4
"113","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.02,20,27,2
"114","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.05,50,73,4
"115","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.1,100,138,4
"116","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.2,200,267,4
"117","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.02,20,32,3
"118","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.05,50,83,4
"119","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.1,100,152,4
