"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.02,20,30,26,0
"2","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.05,50,81,74,0
"3","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.1,100,152,141,0
"4","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.2,200,292,278,0
"5","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.02,20,39,36,0
"6","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.05,50,88,83,0
"7","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.1,100,150,144,0
"8","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.2,200,276,267,0
"9","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.02,20,31,28,0
"10","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.05,50,71,67,0
"11","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.1,100,135,130,0
"12","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.2,200,268,260,0
"13","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.02,20,29,29,0
"14","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.05,50,83,78,0
"15","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.1,100,150,143,0
"16","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.2,200,288,276,0
"17","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.02,20,32,31,0
"18","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.05,50,75,71,0
"19","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.1,100,143,137,0
"20","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.2,200,273,261,0
"21","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.02,20,40,36,0
"22","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.05,50,87,79,0
"23","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.1,100,155,146,0
"24","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.2,200,285,273,0
"25","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.02,20,41,38,0
"26","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.05,50,83,79,0
"27","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.1,100,166,158,0
"28","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.2,200,290,279,0
"29","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.02,20,31,30,0
"30","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.05,50,80,75,0
"31","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.1,100,154,144,0
"32","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.2,200,298,280,0
"33","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.02,20,31,30,0
"34","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.05,50,76,73,0
"35","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.1,100,145,139,0
"36","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.2,200,278,269,0
"37","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.02,20,45,36,0
"38","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.05,50,94,82,0
"39","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.1,100,164,148,0
"40","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.2,200,292,273,0
"41","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.02,20,35,30,0
"42","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.05,50,76,69,0
"43","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.1,100,141,134,0
"44","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.2,200,259,251,0
"45","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.02,20,30,28,0
"46","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.05,50,72,69,0
"47","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.1,100,141,136,0
"48","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.2,200,272,263,0
"49","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.02,20,26,26,0
"50","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.05,50,86,77,0
"51","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.1,100,154,143,0
"52","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.2,200,288,271,0
"53","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.02,20,32,29,0
