"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.02,20,30,3
"2","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.05,50,81,4
"3","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.1,100,147,4
"4","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.2,200,274,3
"5","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.02,20,38,3
"6","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.05,50,85,3
"7","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.1,100,144,3
"8","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.2,200,255,3
"9","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.02,20,31,3
"10","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.05,50,71,3
"11","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.1,100,133,3
"12","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.2,200,257,4
"13","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.02,20,29,3
"14","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.05,50,82,5
"15","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.1,100,144,5
"16","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.2,200,271,4
"17","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.02,20,32,3
"18","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.05,50,75,3
"19","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.1,100,142,4
"20","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.2,200,258,3
"21","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.02,20,40,4
"22","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.05,50,84,4
"23","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.1,100,150,4
"24","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.2,200,267,4
"25","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.02,20,38,4
"26","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.05,50,78,4
"27","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.1,100,160,5
"28","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.2,200,265,5
"29","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.02,20,28,3
"30","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.05,50,79,3
"31","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.1,100,147,5
"32","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.2,200,282,4
"33","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.02,20,30,4
"34","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.05,50,74,4
"35","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.1,100,143,4
"36","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.2,200,265,4
