"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.02,20,25,20,0
"2","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.05,50,66,51,0
"3","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.1,100,133,100,0
"4","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.2,200,267,200,0
"5","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.02,20,26,20,0
"6","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.05,50,62,50,0
"7","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.1,100,132,100,0
"8","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.2,200,253,200,0
"9","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.02,20,25,20,0
"10","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.05,50,65,50,0
"11","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.1,100,129,100,0
"12","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.2,200,253,201,0
"13","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.02,20,25,20,0
"14","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.05,50,66,51,0
"15","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.1,100,141,100,0
"16","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.2,200,270,200,0
"17","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.02,20,32,20,0
"18","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.05,50,70,50,0
"19","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.1,100,144,101,0
"20","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.2,200,274,200,0
"21","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.02,20,28,21,0
"22","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.05,50,75,52,0
"23","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.1,100,143,100,0
"24","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.2,200,277,200,0
"25","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.02,20,27,20,0
"26","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.05,50,74,50,0
"27","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.1,100,139,100,0
"28","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.2,200,273,201,0
"29","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.02,20,24,21,0
"30","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.05,50,65,50,0
"31","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.1,100,140,100,0
"32","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.2,200,278,200,0
"33","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.02,20,23,21,0
"34","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.05,50,69,51,0
"35","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.1,100,134,103,0
"36","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.2,200,268,200,0
"37","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.02,20,25,20,0
"38","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.05,50,64,50,0
"39","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.1,100,128,100,0
"40","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.2,200,263,200,0
"41","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.02,20,30,21,0
"42","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.05,50,67,50,0
"43","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.1,100,134,101,0
"44","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.2,200,250,200,0
"45","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.02,20,25,21,0
"46","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.05,50,72,50,0
"47","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.1,100,132,101,0
"48","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.2,200,262,200,0
"49","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.02,20,26,22,0
"50","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.05,50,64,50,0
"51","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.1,100,136,101,0
"52","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.2,200,265,201,0
"53","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.02,20,25,20,0
"54","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.05,50,64,50,0
"55","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.1,100,137,101,0
"56","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.2,200,257,200,0
"57","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.02,20,25,21,0
"58","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.05,50,69,50,0
"59","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.1,100,135,100,0
"60","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.2,200,269,201,0
"61","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.02,20,25,20,0
"62","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.05,50,63,50,0
"63","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.1,100,129,101,0
"64","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.2,200,266,200,0
"65","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.02,20,27,22,0
"66","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.05,50,76,50,0
"67","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.1,100,145,100,0
"68","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.2,200,275,202,0
