"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.02,20,25,23,0
"2","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.05,50,66,62,0
"3","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.1,100,133,127,0
"4","ml_ererer_pp_0.01_001_.mpx","ererer","0.01","001",0.2,200,267,258,0
"5","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.02,20,26,25,0
"6","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.05,50,62,61,0
"7","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.1,100,132,130,0
"8","ml_ererer_pp_0.01_002_.mpx","ererer","0.01","002",0.2,200,253,248,0
"9","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.02,20,25,24,0
"10","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.05,50,65,64,0
"11","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.1,100,129,126,0
"12","ml_ererer_pp_0.01_003_.mpx","ererer","0.01","003",0.2,200,253,248,0
"13","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.02,20,25,24,0
"14","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.05,50,66,63,0
"15","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.1,100,141,136,0
"16","ml_ererer_pp_0.01_004_.mpx","ererer","0.01","004",0.2,200,270,264,0
"17","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.02,20,32,31,0
"18","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.05,50,70,69,0
"19","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.1,100,144,139,0
"20","ml_ererer_pp_0.01_005_.mpx","ererer","0.01","005",0.2,200,274,266,0
"21","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.02,20,28,28,0
"22","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.05,50,75,72,0
"23","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.1,100,143,138,0
"24","ml_ererer_pp_0.01_006_.mpx","ererer","0.01","006",0.2,200,277,265,0
"25","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.02,20,27,26,0
"26","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.05,50,74,69,0
"27","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.1,100,139,131,0
"28","ml_ererer_pp_0.01_007_.mpx","ererer","0.01","007",0.2,200,273,260,0
"29","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.02,20,24,24,0
"30","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.05,50,65,63,0
"31","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.1,100,140,135,0
"32","ml_ererer_pp_0.01_008_.mpx","ererer","0.01","008",0.2,200,278,266,0
"33","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.02,20,23,23,0
"34","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.05,50,69,67,0
"35","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.1,100,134,131,0
"36","ml_ererer_pp_0.01_009_.mpx","ererer","0.01","009",0.2,200,268,263,0
"37","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.02,20,25,25,0
"38","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.05,50,64,63,0
"39","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.1,100,128,125,0
"40","ml_ererer_pp_0.01_010_.mpx","ererer","0.01","010",0.2,200,263,252,0
"41","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.02,20,30,29,0
"42","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.05,50,67,66,0
"43","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.1,100,134,130,0
"44","ml_ererer_pp_0.01_011_.mpx","ererer","0.01","011",0.2,200,250,245,0
"45","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.02,20,25,25,0
"46","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.05,50,72,71,0
"47","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.1,100,132,129,0
"48","ml_ererer_pp_0.01_012_.mpx","ererer","0.01","012",0.2,200,262,254,0
"49","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.02,20,26,25,0
"50","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.05,50,64,63,0
"51","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.1,100,136,129,0
"52","ml_ererer_pp_0.01_013_.mpx","ererer","0.01","013",0.2,200,265,253,0
"53","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.02,20,25,24,0
"54","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.05,50,64,63,0
"55","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.1,100,137,132,0
"56","ml_ererer_pp_0.01_014_.mpx","ererer","0.01","014",0.2,200,257,250,0
"57","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.02,20,25,24,0
"58","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.05,50,69,66,0
"59","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.1,100,135,131,0
"60","ml_ererer_pp_0.01_015_.mpx","ererer","0.01","015",0.2,200,269,264,0
"61","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.02,20,25,24,0
"62","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.05,50,63,62,0
"63","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.1,100,129,126,0
"64","ml_ererer_pp_0.01_016_.mpx","ererer","0.01","016",0.2,200,266,258,0
"65","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.02,20,27,26,0
"66","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.05,50,76,73,0
"67","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.1,100,145,140,0
"68","ml_ererer_pp_0.01_017_.mpx","ererer","0.01","017",0.2,200,275,268,0
"69","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.02,20,30,29,0
"70","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.05,50,75,71,0
"71","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.1,100,139,134,0
"72","ml_ererer_pp_0.01_018_.mpx","ererer","0.01","018",0.2,200,267,261,0
"73","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.02,20,29,28,0
"74","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.05,50,77,71,0
"75","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.1,100,137,129,0
"76","ml_ererer_pp_0.01_019_.mpx","ererer","0.01","019",0.2,200,263,251,0
"77","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.02,20,24,24,0
"78","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.05,50,62,60,0
"79","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.1,100,134,128,0
"80","ml_ererer_pp_0.01_020_.mpx","ererer","0.01","020",0.2,200,262,251,0
"81","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.02,20,27,27,0
"82","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.05,50,69,67,0
"83","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.1,100,134,132,0
"84","ml_ererer_pp_0.01_021_.mpx","ererer","0.01","021",0.2,200,267,263,0
"85","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.02,20,29,27,0
"86","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.05,50,82,75,0
"87","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.1,100,159,149,0
"88","ml_ererer_pp_0.01_022_.mpx","ererer","0.01","022",0.2,200,293,280,0
"89","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.02,20,23,23,0
"90","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.05,50,64,64,0
"91","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.1,100,135,133,0
"92","ml_ererer_pp_0.01_023_.mpx","ererer","0.01","023",0.2,200,268,266,0
"93","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.02,20,29,27,0
"94","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.05,50,73,70,0
"95","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.1,100,137,132,0
"96","ml_ererer_pp_0.01_024_.mpx","ererer","0.01","024",0.2,200,266,258,0
"97","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.02,20,26,25,0
"98","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.05,50,59,58,0
"99","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.1,100,131,125,0
"100","ml_ererer_pp_0.01_025_.mpx","ererer","0.01","025",0.2,200,252,246,0
"101","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.02,20,23,22,0
"102","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.05,50,64,61,0
"103","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.1,100,125,122,0
"104","ml_ererer_pp_0.01_026_.mpx","ererer","0.01","026",0.2,200,250,246,0
"105","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.02,20,32,31,0
"106","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.05,50,82,76,0
"107","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.1,100,149,141,0
"108","ml_ererer_pp_0.01_027_.mpx","ererer","0.01","027",0.2,200,275,264,0
"109","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.02,20,25,25,0
"110","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.05,50,73,67,0
"111","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.1,100,144,136,0
"112","ml_ererer_pp_0.01_028_.mpx","ererer","0.01","028",0.2,200,260,251,0
"113","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.02,20,29,29,0
"114","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.05,50,79,76,0
"115","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.1,100,148,145,0
"116","ml_ererer_pp_0.01_029_.mpx","ererer","0.01","029",0.2,200,279,272,0
"117","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.02,20,28,28,0
"118","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.05,50,64,64,0
"119","ml_ererer_pp_0.01_030_.mpx","ererer","0.01","030",0.1,100,131,129,0
