"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,82,62,0
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,169,129,0
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,254,207,0
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,402,345,0
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,60,45,0
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,120,100,0
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,235,205,0
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,415,363,0
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,94,54,0
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,188,129,0
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,298,224,0
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,461,382,0
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,55,44,0
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,123,102,0
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,212,184,0
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,391,346,0
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,55,44,0
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,155,116,0
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,264,207,0
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,423,356,0
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,66,49,0
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,124,99,0
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,246,202,0
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,427,365,0
"25","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.02,20,52,46,0
"26","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.05,50,128,104,0
