"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,81,10
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,167,10
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,238,6
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,350,6
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,60,6
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,119,6
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,226,6
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,373,5
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,91,9
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,175,8
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,260,6
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,378,5
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,55,5
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,116,5
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,196,5
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,346,5
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,55,5
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,147,7
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,233,7
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,376,7
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,66,8
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,117,6
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,235,6
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,367,6
"25","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.02,20,52,5
"26","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.05,50,126,7
"27","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.1,100,214,7
"28","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.2,200,343,5
"29","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.02,20,47,4
"30","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.05,50,144,6
