"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,93,29,0
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,168,52,0
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,248,101,0
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,395,201,0
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,58,20,0
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,128,53,0
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,226,100,0
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,406,203,0
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,107,22,0
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,193,51,0
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,289,102,0
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,452,201,0
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,42,21,0
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,121,50,0
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,213,101,0
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,384,201,0
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,67,21,0
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,135,51,0
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,255,100,0
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,420,200,0
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,61,26,0
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,142,50,0
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,236,102,0
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,410,200,0
"25","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.02,20,56,21,0
"26","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.05,50,136,51,0
"27","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.1,100,227,101,0
"28","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.2,200,367,200,0
"29","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.02,20,67,23,0
"30","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.05,50,168,51,0
"31","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.1,100,256,102,0
"32","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.2,200,420,200,0
"33","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.02,20,58,23,0
"34","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.05,50,135,50,0
"35","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.1,100,222,100,0
"36","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.2,200,371,200,0
"37","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.02,20,75,21,0
"38","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.05,50,148,52,0
"39","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.1,100,251,101,0
"40","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.2,200,429,200,0
"41","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.02,20,57,22,0
"42","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.05,50,118,51,0
"43","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.1,100,218,103,0
"44","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.2,200,380,200,0
"45","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.02,20,69,21,0
"46","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.05,50,124,51,0
"47","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.1,100,229,103,0
"48","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.2,200,393,200,0
"49","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.02,20,50,22,0
"50","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.05,50,106,53,0
"51","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.1,100,202,102,0
"52","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.2,200,378,201,0
"53","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.02,20,88,27,0
"54","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.05,50,162,55,0
"55","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.1,100,280,102,0
"56","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.2,200,442,200,0
"57","ml_ererererer_pp_0.01_015_.mpx","ererererer","0.01","015",0.02,20,46,22,0
"58","ml_ererererer_pp_0.01_015_.mpx","ererererer","0.01","015",0.05,50,140,52,0
"59","ml_ererererer_pp_0.01_015_.mpx","ererererer","0.01","015",0.1,100,268,100,0
"60","ml_ererererer_pp_0.01_015_.mpx","ererererer","0.01","015",0.2,200,423,201,0
"61","ml_ererererer_pp_0.01_016_.mpx","ererererer","0.01","016",0.02,20,80,22,0
"62","ml_ererererer_pp_0.01_016_.mpx","ererererer","0.01","016",0.05,50,158,52,0
"63","ml_ererererer_pp_0.01_016_.mpx","ererererer","0.01","016",0.1,100,276,103,0
"64","ml_ererererer_pp_0.01_016_.mpx","ererererer","0.01","016",0.2,200,431,200,0
