"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,79,10
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,161,10
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,234,10
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,353,8
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,58,7
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,128,7
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,220,7
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,379,7
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,95,9
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,183,9
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,255,7
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,382,5
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,42,5
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,117,5
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,202,5
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,348,5
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,66,7
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,130,7
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,241,7
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,378,7
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,61,8
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,142,8
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,219,6
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,356,6
"25","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.02,20,56,7
"26","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.05,50,136,7
"27","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.1,100,210,6
"28","ml_ererererer_pp_0.01_007_.mpx","ererererer","0.01","007",0.2,200,329,5
"29","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.02,20,67,6
"30","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.05,50,165,7
"31","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.1,100,241,6
"32","ml_ererererer_pp_0.01_008_.mpx","ererererer","0.01","008",0.2,200,375,7
"33","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.02,20,58,5
"34","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.05,50,131,6
"35","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.1,100,210,6
"36","ml_ererererer_pp_0.01_009_.mpx","ererererer","0.01","009",0.2,200,341,6
"37","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.02,20,73,7
"38","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.05,50,139,7
"39","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.1,100,225,5
"40","ml_ererererer_pp_0.01_010_.mpx","ererererer","0.01","010",0.2,200,364,6
"41","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.02,20,57,9
"42","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.05,50,114,9
"43","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.1,100,197,9
"44","ml_ererererer_pp_0.01_011_.mpx","ererererer","0.01","011",0.2,200,338,7
"45","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.02,20,67,6
"46","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.05,50,118,6
"47","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.1,100,208,8
"48","ml_ererererer_pp_0.01_012_.mpx","ererererer","0.01","012",0.2,200,354,5
"49","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.02,20,50,4
"50","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.05,50,106,7
"51","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.1,100,193,7
"52","ml_ererererer_pp_0.01_013_.mpx","ererererer","0.01","013",0.2,200,342,6
"53","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.02,20,71,7
"54","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.05,50,147,8
"55","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.1,100,255,7
"56","ml_ererererer_pp_0.01_014_.mpx","ererererer","0.01","014",0.2,200,383,5
