"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.02,20,55,7
"2","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.05,50,123,7
"3","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.1,100,215,7
"4","ml_ererererer_pp_0.01_001_.mpx","ererererer","0.01","001",0.2,200,357,7
"5","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.02,20,59,8
"6","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.05,50,117,8
"7","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.1,100,198,8
"8","ml_ererererer_pp_0.01_002_.mpx","ererererer","0.01","002",0.2,200,333,5
"9","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.02,20,74,10
"10","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.05,50,132,10
"11","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.1,100,224,7
"12","ml_ererererer_pp_0.01_003_.mpx","ererererer","0.01","003",0.2,200,379,7
"13","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.02,20,41,4
"14","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.05,50,97,4
"15","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.1,100,197,5
"16","ml_ererererer_pp_0.01_004_.mpx","ererererer","0.01","004",0.2,200,335,5
"17","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.02,20,49,6
"18","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.05,50,129,9
"19","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.1,100,233,9
"20","ml_ererererer_pp_0.01_005_.mpx","ererererer","0.01","005",0.2,200,375,6
"21","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.02,20,47,5
"22","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.05,50,110,6
"23","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.1,100,210,6
"24","ml_ererererer_pp_0.01_006_.mpx","ererererer","0.01","006",0.2,200,369,7
