"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.02,8,50,11,0
"2","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.05,20,77,20,0
"3","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.1,41,106,41,0
"4","ml_EUAir_pp_0.01_001_.mpx","EUAir","0.01","001",0.2,83,152,83,0
"5","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.02,8,72,9,0
"6","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.05,20,94,20,0
"7","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.1,41,120,41,0
"8","ml_EUAir_pp_0.01_002_.mpx","EUAir","0.01","002",0.2,83,164,83,0
"9","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.02,8,66,11,0
"10","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.05,20,85,20,0
"11","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.1,41,115,41,0
"12","ml_EUAir_pp_0.01_003_.mpx","EUAir","0.01","003",0.2,83,161,83,0
"13","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.02,8,52,8,0
"14","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.05,20,79,22,0
"15","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.1,41,112,42,0
"16","ml_EUAir_pp_0.01_004_.mpx","EUAir","0.01","004",0.2,83,155,83,0
"17","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.02,8,63,14,0
"18","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.05,20,79,22,0
"19","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.1,41,103,41,0
"20","ml_EUAir_pp_0.01_005_.mpx","EUAir","0.01","005",0.2,83,149,83,0
"21","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.02,8,50,10,0
"22","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.05,20,73,20,0
"23","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.1,41,98,41,0
"24","ml_EUAir_pp_0.01_006_.mpx","EUAir","0.01","006",0.2,83,143,83,0
"25","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.02,8,53,9,0
"26","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.05,20,76,22,0
"27","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.1,41,99,41,0
"28","ml_EUAir_pp_0.01_007_.mpx","EUAir","0.01","007",0.2,83,142,83,0
"29","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.02,8,48,12,0
"30","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.05,20,71,20,0
"31","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.1,41,97,41,0
"32","ml_EUAir_pp_0.01_008_.mpx","EUAir","0.01","008",0.2,83,146,83,0
"33","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.02,8,67,10,0
"34","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.05,20,85,20,0
"35","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.1,41,107,41,0
"36","ml_EUAir_pp_0.01_009_.mpx","EUAir","0.01","009",0.2,83,154,83,0
"37","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.02,8,39,10,0
"38","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.05,20,64,20,0
"39","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.1,41,100,41,0
"40","ml_EUAir_pp_0.01_010_.mpx","EUAir","0.01","010",0.2,83,145,83,0
"41","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.02,8,51,10,0
"42","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.05,20,67,20,0
"43","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.1,41,95,41,0
"44","ml_EUAir_pp_0.01_011_.mpx","EUAir","0.01","011",0.2,83,144,83,0
"45","ml_EUAir_pp_0.01_012_.mpx","EUAir","0.01","012",0.02,8,41,12,0
"46","ml_EUAir_pp_0.01_012_.mpx","EUAir","0.01","012",0.05,20,62,20,0
"47","ml_EUAir_pp_0.01_012_.mpx","EUAir","0.01","012",0.1,41,91,41,0
"48","ml_EUAir_pp_0.01_012_.mpx","EUAir","0.01","012",0.2,83,139,83,0
"49","ml_EUAir_pp_0.01_013_.mpx","EUAir","0.01","013",0.02,8,54,8,0
"50","ml_EUAir_pp_0.01_013_.mpx","EUAir","0.01","013",0.05,20,70,20,0
"51","ml_EUAir_pp_0.01_013_.mpx","EUAir","0.01","013",0.1,41,96,41,0
