"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.02,20,45,38,0
"2","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.05,50,88,80,0
"3","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.1,100,160,151,0
"4","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.2,200,273,263,0
"5","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.02,20,56,43,0
"6","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.05,50,104,88,0
"7","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.1,100,170,152,0
"8","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.2,200,284,266,0
"9","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.02,20,57,41,0
"10","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.05,50,100,83,0
"11","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.1,100,162,145,0
"12","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.2,200,271,253,0
"13","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.02,20,49,39,0
"14","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.05,50,89,78,0
"15","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.1,100,152,139,0
"16","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.2,200,268,254,0
"17","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.02,20,48,39,0
"18","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.05,50,88,76,0
"19","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.1,100,150,138,0
"20","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.2,200,262,249,0
"21","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.02,20,50,38,0
"22","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.05,50,105,86,0
"23","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.1,100,170,148,0
"24","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.2,200,278,256,0
"25","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.02,20,49,38,0
"26","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.05,50,99,82,0
"27","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.1,100,165,146,0
"28","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.2,200,279,259,0
"29","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.02,20,51,40,0
"30","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.05,50,96,82,0
"31","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.1,100,162,148,0
"32","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.2,200,271,257,0
"33","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.02,20,50,41,0
"34","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.05,50,95,83,0
"35","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.1,100,157,144,0
"36","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.2,200,265,252,0
"37","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.02,20,63,45,0
"38","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.05,50,112,87,0
"39","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.1,100,182,155,0
"40","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.2,200,302,272,0
"41","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.02,20,47,41,0
"42","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.05,50,94,84,0
