"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.02,20,46,40,0
"2","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.05,50,88,81,0
"3","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.1,100,156,149,0
"4","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.2,200,272,264,0
"5","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.02,20,56,43,0
"6","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.05,50,103,86,0
"7","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.1,100,168,149,0
"8","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.2,200,281,262,0
"9","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.02,20,50,36,0
"10","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.05,50,100,83,0
"11","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.1,100,160,142,0
"12","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.2,200,273,253,0
"13","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.02,20,46,37,0
"14","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.05,50,93,80,0
"15","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.1,100,155,142,0
"16","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.2,200,267,253,0
"17","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.02,20,47,38,0
"18","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.05,50,89,77,0
"19","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.1,100,149,137,0
"20","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.2,200,258,245,0
"21","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.02,20,52,37,0
"22","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.05,50,106,87,0
"23","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.1,100,164,144,0
"24","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.2,200,282,259,0
"25","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.02,20,48,38,0
"26","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.05,50,97,83,0
"27","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.1,100,166,149,0
"28","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.2,200,278,260,0
"29","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.02,20,53,43,0
