"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.02,20,44,4
"2","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.05,50,79,4
"3","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.1,100,142,4
"4","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.2,200,249,3
"5","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.02,20,51,3
"6","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.05,50,93,3
"7","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.1,100,151,3
"8","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.2,200,248,3
"9","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.02,20,48,4
"10","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.05,50,89,3
"11","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.1,100,147,3
"12","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.2,200,243,2
"13","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.02,20,45,3
"14","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.05,50,89,3
"15","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.1,100,141,3
"16","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.2,200,249,3
"17","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.02,20,44,4
"18","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.05,50,82,4
"19","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.1,100,139,4
"20","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.2,200,237,3
"21","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.02,20,45,3
"22","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.05,50,100,3
"23","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.1,100,154,3
"24","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.2,200,260,3
"25","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.02,20,47,3
"26","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.05,50,88,4
"27","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.1,100,152,3
"28","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.2,200,253,3
"29","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.02,20,45,3
"30","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.05,50,83,3
"31","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.1,100,145,3
"32","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.2,200,248,3
"33","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.02,20,46,3
"34","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.05,50,85,3
"35","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.1,100,143,3
"36","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.2,200,246,3
"37","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.02,20,59,4
"38","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.05,50,104,4
"39","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.1,100,162,3
"40","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.2,200,257,3
"41","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.02,20,48,5
"42","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.05,50,82,4
"43","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.1,100,150,5
"44","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.2,200,258,3
"45","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.02,20,48,3
"46","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.05,50,104,3
"47","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.1,100,158,5
