"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.02,20,22,22,0
"2","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.05,50,62,59,0
"3","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.1,100,115,112,0
"4","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.2,200,240,235,0
"5","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.02,20,22,22,0
"6","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.05,50,59,59,0
"7","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.1,100,123,118,0
"8","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.2,200,252,239,0
"9","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.02,20,21,21,0
"10","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.05,50,63,61,0
"11","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.1,100,115,113,0
"12","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.2,200,233,226,0
"13","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.02,20,28,26,0
"14","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.05,50,64,62,0
"15","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.1,100,125,120,0
"16","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.2,200,236,229,0
"17","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.02,20,20,20,0
"18","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.05,50,55,54,0
"19","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.1,100,123,119,0
"20","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.2,200,238,233,0
"21","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.02,20,27,24,0
"22","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.05,50,65,60,0
"23","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.1,100,124,116,0
"24","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.2,200,240,228,0
"25","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.02,20,30,27,0
"26","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.05,50,65,61,0
"27","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.1,100,125,119,0
"28","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.2,200,240,233,0
"29","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.02,20,24,23,0
"30","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.05,50,64,63,0
"31","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.1,100,118,117,0
"32","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.2,200,226,225,0
"33","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.02,20,29,25,0
"34","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.05,50,64,59,0
"35","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.1,100,119,114,0
"36","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.2,200,229,223,0
