"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.02,20,22,2
"2","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.05,50,61,4
"3","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.1,100,114,4
"4","ml_papa_pp_0.01_001_.mpx","papa","0.01","001",0.2,200,236,5
"5","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.02,20,22,3
"6","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.05,50,58,4
"7","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.1,100,117,4
"8","ml_papa_pp_0.01_002_.mpx","papa","0.01","002",0.2,200,246,4
"9","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.02,20,21,2
"10","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.05,50,63,4
"11","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.1,100,114,4
"12","ml_papa_pp_0.01_003_.mpx","papa","0.01","003",0.2,200,230,5
"13","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.02,20,28,3
"14","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.05,50,64,3
"15","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.1,100,125,3
"16","ml_papa_pp_0.01_004_.mpx","papa","0.01","004",0.2,200,231,3
"17","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.02,20,20,1
"18","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.05,50,55,3
"19","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.1,100,123,4
"20","ml_papa_pp_0.01_005_.mpx","papa","0.01","005",0.2,200,232,3
"21","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.02,20,27,2
"22","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.05,50,65,3
"23","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.1,100,124,3
"24","ml_papa_pp_0.01_006_.mpx","papa","0.01","006",0.2,200,234,4
"25","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.02,20,30,4
"26","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.05,50,65,4
"27","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.1,100,124,4
"28","ml_papa_pp_0.01_007_.mpx","papa","0.01","007",0.2,200,236,4
"29","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.02,20,24,3
"30","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.05,50,64,8
"31","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.1,100,117,8
"32","ml_papa_pp_0.01_008_.mpx","papa","0.01","008",0.2,200,221,8
"33","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.02,20,29,3
"34","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.05,50,64,3
"35","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.1,100,118,3
"36","ml_papa_pp_0.01_009_.mpx","papa","0.01","009",0.2,200,224,3
"37","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.02,20,27,4
"38","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.05,50,74,6
"39","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.1,100,143,6
"40","ml_papa_pp_0.01_010_.mpx","papa","0.01","010",0.2,200,252,4
"41","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.02,20,24,3
"42","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.05,50,58,3
"43","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.1,100,120,5
"44","ml_papa_pp_0.01_011_.mpx","papa","0.01","011",0.2,200,236,4
"45","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.02,20,32,6
"46","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.05,50,69,6
"47","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.1,100,133,6
"48","ml_papa_pp_0.01_012_.mpx","papa","0.01","012",0.2,200,247,6
"49","ml_papa_pp_0.01_013_.mpx","papa","0.01","013",0.02,20,22,2
"50","ml_papa_pp_0.01_013_.mpx","papa","0.01","013",0.05,50,57,3
"51","ml_papa_pp_0.01_013_.mpx","papa","0.01","013",0.1,100,124,5
"52","ml_papa_pp_0.01_013_.mpx","papa","0.01","013",0.2,200,242,4
"53","ml_papa_pp_0.01_014_.mpx","papa","0.01","014",0.02,20,21,2
"54","ml_papa_pp_0.01_014_.mpx","papa","0.01","014",0.05,50,74,9
"55","ml_papa_pp_0.01_014_.mpx","papa","0.01","014",0.1,100,133,7
"56","ml_papa_pp_0.01_014_.mpx","papa","0.01","014",0.2,200,235,5
"57","ml_papa_pp_0.01_015_.mpx","papa","0.01","015",0.02,20,31,3
"58","ml_papa_pp_0.01_015_.mpx","papa","0.01","015",0.05,50,64,3
"59","ml_papa_pp_0.01_015_.mpx","papa","0.01","015",0.1,100,127,3
"60","ml_papa_pp_0.01_015_.mpx","papa","0.01","015",0.2,200,251,6
"61","ml_papa_pp_0.01_016_.mpx","papa","0.01","016",0.02,20,21,2
"62","ml_papa_pp_0.01_016_.mpx","papa","0.01","016",0.05,50,54,2
"63","ml_papa_pp_0.01_016_.mpx","papa","0.01","016",0.1,100,120,4
"64","ml_papa_pp_0.01_016_.mpx","papa","0.01","016",0.2,200,238,4
"65","ml_papa_pp_0.01_017_.mpx","papa","0.01","017",0.02,20,22,2
"66","ml_papa_pp_0.01_017_.mpx","papa","0.01","017",0.05,50,59,4
"67","ml_papa_pp_0.01_017_.mpx","papa","0.01","017",0.1,100,122,4
"68","ml_papa_pp_0.01_017_.mpx","papa","0.01","017",0.2,200,232,4
"69","ml_papa_pp_0.01_018_.mpx","papa","0.01","018",0.02,20,36,5
"70","ml_papa_pp_0.01_018_.mpx","papa","0.01","018",0.05,50,80,5
"71","ml_papa_pp_0.01_018_.mpx","papa","0.01","018",0.1,100,129,4
"72","ml_papa_pp_0.01_018_.mpx","papa","0.01","018",0.2,200,236,5
"73","ml_papa_pp_0.01_019_.mpx","papa","0.01","019",0.02,20,24,3
"74","ml_papa_pp_0.01_019_.mpx","papa","0.01","019",0.05,50,54,3
"75","ml_papa_pp_0.01_019_.mpx","papa","0.01","019",0.1,100,106,3
"76","ml_papa_pp_0.01_019_.mpx","papa","0.01","019",0.2,200,213,3
"77","ml_papa_pp_0.01_020_.mpx","papa","0.01","020",0.02,20,25,3
"78","ml_papa_pp_0.01_020_.mpx","papa","0.01","020",0.05,50,59,3
"79","ml_papa_pp_0.01_020_.mpx","papa","0.01","020",0.1,100,111,3
"80","ml_papa_pp_0.01_020_.mpx","papa","0.01","020",0.2,200,226,5
"81","ml_papa_pp_0.01_021_.mpx","papa","0.01","021",0.02,20,33,4
"82","ml_papa_pp_0.01_021_.mpx","papa","0.01","021",0.05,50,72,5
"83","ml_papa_pp_0.01_021_.mpx","papa","0.01","021",0.1,100,130,6
"84","ml_papa_pp_0.01_021_.mpx","papa","0.01","021",0.2,200,240,6
"85","ml_papa_pp_0.01_022_.mpx","papa","0.01","022",0.02,20,21,2
"86","ml_papa_pp_0.01_022_.mpx","papa","0.01","022",0.05,50,76,5
"87","ml_papa_pp_0.01_022_.mpx","papa","0.01","022",0.1,100,135,4
"88","ml_papa_pp_0.01_022_.mpx","papa","0.01","022",0.2,200,248,4
"89","ml_papa_pp_0.01_023_.mpx","papa","0.01","023",0.02,20,29,3
