"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.02,20,51,42,0
"2","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.05,50,103,91,0
"3","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.1,100,175,160,0
"4","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.2,200,291,276,0
"5","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.02,20,51,40,0
"6","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.05,50,101,86,0
"7","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.1,100,171,152,0
"8","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.2,200,298,276,0
"9","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.02,20,45,33,0
"10","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.05,50,98,84,0
"11","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.1,100,167,151,0
"12","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.2,200,284,267,0
"13","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.02,20,46,38,0
"14","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.05,50,92,82,0
"15","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.1,100,153,143,0
"16","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.2,200,264,252,0
"17","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.02,20,59,43,0
"18","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.05,50,112,91,0
"19","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.1,100,176,153,0
"20","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.2,200,288,265,0
"21","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.02,20,59,41,0
"22","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.05,50,108,84,0
"23","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.1,100,176,149,0
"24","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.2,200,287,259,0
"25","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.02,20,49,40,0
"26","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.05,50,101,86,0
"27","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.1,100,166,149,0
"28","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.2,200,283,265,0
"29","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.02,20,54,41,0
"30","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.05,50,105,88,0
"31","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.1,100,178,157,0
"32","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.2,200,290,269,0
"33","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.02,20,58,46,0
"34","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.05,50,107,90,0
"35","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.1,100,176,155,0
"36","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.2,200,289,267,0
"37","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.02,20,54,35,0
"38","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.05,50,108,83,0
"39","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.1,100,177,150,0
"40","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.2,200,296,265,0
"41","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.02,20,47,34,0
"42","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.05,50,104,84,0
"43","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.1,100,173,149,0
"44","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.2,200,287,262,0
"45","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.02,20,55,41,0
"46","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.05,50,111,92,0
"47","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.1,100,175,155,0
"48","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.2,200,289,268,0
"49","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.02,20,60,44,0
"50","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.05,50,119,96,0
"51","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.1,100,188,163,0
"52","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.2,200,311,286,0
"53","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.02,20,49,43,0
"54","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.05,50,98,90,0
"55","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.1,100,164,156,0
"56","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.2,200,282,273,0
"57","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.02,20,58,42,0
"58","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.05,50,109,87,0
