"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.02,20,49,4
"2","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.05,50,88,4
"3","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.1,100,153,4
"4","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.2,200,255,4
"5","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.02,20,51,4
"6","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.05,50,92,4
"7","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.1,100,152,4
"8","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.2,200,266,3
"9","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.02,20,45,3
"10","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.05,50,95,3
"11","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.1,100,159,3
"12","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.2,200,257,3
"13","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.02,20,43,4
"14","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.05,50,86,4
"15","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.1,100,138,3
"16","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.2,200,241,3
"17","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.02,20,56,4
"18","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.05,50,92,4
"19","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.1,100,149,3
"20","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.2,200,255,3
"21","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.02,20,58,4
"22","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.05,50,99,4
"23","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.1,100,156,3
"24","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.2,200,250,3
"25","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.02,20,47,3
"26","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.05,50,83,3
