"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.02,20,23,22,0
"2","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.05,50,65,62,0
"3","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.1,100,121,117,0
"4","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.2,200,243,237,0
"5","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.02,20,27,24,0
"6","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.05,50,62,58,0
"7","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.1,100,129,122,0
"8","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.2,200,243,235,0
"9","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.02,20,25,24,0
"10","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.05,50,67,64,0
"11","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.1,100,122,118,0
"12","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.2,200,245,236,0
"13","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.02,20,32,31,0
"14","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.05,50,67,65,0
"15","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.1,100,118,116,0
"16","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.2,200,231,229,0
"17","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.02,20,34,30,0
"18","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.05,50,83,72,0
"19","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.1,100,147,133,0
"20","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.2,200,266,250,0
"21","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.02,20,25,25,0
"22","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.05,50,66,64,0
"23","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.1,100,136,128,0
"24","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.2,200,264,252,0
"25","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.02,20,25,25,0
"26","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.05,50,66,64,0
"27","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.1,100,131,125,0
"28","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.2,200,257,246,0
"29","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.02,20,25,24,0
"30","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.05,50,74,67,0
"31","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.1,100,136,128,0
"32","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.2,200,254,243,0
"33","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.02,20,24,24,0
"34","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.05,50,61,61,0
"35","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.1,100,123,120,0
"36","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.2,200,247,239,0
"37","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.02,20,34,24,0
"38","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.05,50,73,63,0
"39","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.1,100,131,121,0
"40","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.2,200,257,242,0
"41","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.02,20,25,24,0
"42","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.05,50,65,58,0
"43","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.1,100,144,127,0
"44","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.2,200,261,244,0
"45","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.02,20,33,27,0
"46","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.05,50,69,63,0
"47","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.1,100,127,121,0
"48","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.2,200,253,244,0
"49","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.02,20,29,26,0
"50","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.05,50,68,65,0
"51","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.1,100,134,127,0
"52","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.2,200,257,246,0
"53","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.02,20,28,27,0
"54","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.05,50,62,59,0
"55","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.1,100,124,120,0
"56","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.2,200,246,240,0
"57","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.02,20,22,21,0
"58","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.05,50,55,54,0
"59","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.1,100,123,117,0
"60","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.2,200,243,234,0
"61","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.02,20,23,23,0
"62","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.05,50,62,62,0
"63","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.1,100,122,119,0
"64","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.2,200,230,226,0
"65","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.02,20,22,22,0
"66","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.05,50,53,53,0
"67","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.1,100,118,115,0
"68","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.2,200,242,233,0
"69","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.02,20,22,22,0
"70","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.05,50,60,60,0
"71","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.1,100,129,125,0
"72","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.2,200,256,249,0
"73","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.02,20,25,25,0
"74","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.05,50,72,67,0
"75","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.1,100,137,127,0
"76","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.2,200,240,230,0
"77","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.02,20,32,28,0
"78","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.05,50,73,67,0
"79","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.1,100,140,130,0
"80","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.2,200,251,241,0
"81","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.02,20,24,23,0
"82","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.05,50,71,65,0
"83","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.1,100,131,122,0
"84","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.2,200,250,239,0
"85","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.02,20,22,22,0
"86","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.05,50,57,56,0
"87","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.1,100,125,123,0
"88","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.2,200,245,242,0
"89","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.02,20,29,26,0
"90","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.05,50,65,62,0
"91","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.1,100,126,120,0
"92","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.2,200,251,240,0
"93","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.02,20,23,23,0
"94","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.05,50,77,68,0
