"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.02,20,23,2
"2","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.05,50,65,4
"3","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.1,100,121,4
"4","ml_papapa_pp_0.01_001_.mpx","papapa","0.01","001",0.2,200,242,4
"5","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.02,20,27,2
"6","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.05,50,62,2
"7","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.1,100,128,3
"8","ml_papapa_pp_0.01_002_.mpx","papapa","0.01","002",0.2,200,242,3
"9","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.02,20,25,3
"10","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.05,50,66,3
"11","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.1,100,121,3
"12","ml_papapa_pp_0.01_003_.mpx","papapa","0.01","003",0.2,200,237,3
"13","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.02,20,32,5
"14","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.05,50,65,5
"15","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.1,100,116,5
"16","ml_papapa_pp_0.01_004_.mpx","papapa","0.01","004",0.2,200,227,5
"17","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.02,20,34,5
"18","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.05,50,83,5
"19","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.1,100,147,5
"20","ml_papapa_pp_0.01_005_.mpx","papapa","0.01","005",0.2,200,263,5
"21","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.02,20,25,4
"22","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.05,50,66,4
"23","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.1,100,136,5
"24","ml_papapa_pp_0.01_006_.mpx","papapa","0.01","006",0.2,200,258,4
"25","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.02,20,25,4
"26","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.05,50,66,4
"27","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.1,100,128,5
"28","ml_papapa_pp_0.01_007_.mpx","papapa","0.01","007",0.2,200,249,5
"29","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.02,20,25,4
"30","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.05,50,71,5
"31","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.1,100,131,4
"32","ml_papapa_pp_0.01_008_.mpx","papapa","0.01","008",0.2,200,246,4
"33","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.02,20,23,2
"34","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.05,50,60,3
"35","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.1,100,122,3
"36","ml_papapa_pp_0.01_009_.mpx","papapa","0.01","009",0.2,200,245,4
"37","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.02,20,34,4
"38","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.05,50,73,4
"39","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.1,100,129,4
"40","ml_papapa_pp_0.01_010_.mpx","papapa","0.01","010",0.2,200,255,4
"41","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.02,20,25,2
"42","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.05,50,65,4
"43","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.1,100,143,4
"44","ml_papapa_pp_0.01_011_.mpx","papapa","0.01","011",0.2,200,247,4
"45","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.02,20,33,4
"46","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.05,50,69,4
"47","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.1,100,126,4
"48","ml_papapa_pp_0.01_012_.mpx","papapa","0.01","012",0.2,200,246,4
"49","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.02,20,29,3
"50","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.05,50,67,3
"51","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.1,100,131,3
"52","ml_papapa_pp_0.01_013_.mpx","papapa","0.01","013",0.2,200,249,3
"53","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.02,20,28,3
"54","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.05,50,62,3
"55","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.1,100,124,3
"56","ml_papapa_pp_0.01_014_.mpx","papapa","0.01","014",0.2,200,238,3
"57","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.02,20,22,2
"58","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.05,50,55,3
"59","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.1,100,121,4
"60","ml_papapa_pp_0.01_015_.mpx","papapa","0.01","015",0.2,200,237,4
"61","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.02,20,23,3
"62","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.05,50,62,4
"63","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.1,100,121,3
"64","ml_papapa_pp_0.01_016_.mpx","papapa","0.01","016",0.2,200,224,3
"65","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.02,20,22,2
"66","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.05,50,53,2
"67","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.1,100,117,4
"68","ml_papapa_pp_0.01_017_.mpx","papapa","0.01","017",0.2,200,241,6
"69","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.02,20,22,3
"70","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.05,50,60,4
"71","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.1,100,126,4
"72","ml_papapa_pp_0.01_018_.mpx","papapa","0.01","018",0.2,200,243,5
"73","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.02,20,25,3
"74","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.05,50,71,5
"75","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.1,100,122,3
"76","ml_papapa_pp_0.01_019_.mpx","papapa","0.01","019",0.2,200,234,4
"77","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.02,20,32,6
"78","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.05,50,73,6
"79","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.1,100,133,5
"80","ml_papapa_pp_0.01_020_.mpx","papapa","0.01","020",0.2,200,239,5
"81","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.02,20,24,2
"82","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.05,50,70,4
"83","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.1,100,125,3
"84","ml_papapa_pp_0.01_021_.mpx","papapa","0.01","021",0.2,200,238,3
"85","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.02,20,22,2
"86","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.05,50,57,3
"87","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.1,100,125,4
"88","ml_papapa_pp_0.01_022_.mpx","papapa","0.01","022",0.2,200,243,4
"89","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.02,20,28,3
"90","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.05,50,64,4
"91","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.1,100,125,4
"92","ml_papapa_pp_0.01_023_.mpx","papapa","0.01","023",0.2,200,246,4
"93","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.02,20,23,3
"94","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.05,50,77,6
"95","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.1,100,141,6
"96","ml_papapa_pp_0.01_024_.mpx","papapa","0.01","024",0.2,200,255,5
"97","ml_papapa_pp_0.01_025_.mpx","papapa","0.01","025",0.02,20,25,3
"98","ml_papapa_pp_0.01_025_.mpx","papapa","0.01","025",0.05,50,70,6
"99","ml_papapa_pp_0.01_025_.mpx","papapa","0.01","025",0.1,100,125,6
"100","ml_papapa_pp_0.01_025_.mpx","papapa","0.01","025",0.2,200,243,3
"101","ml_papapa_pp_0.01_026_.mpx","papapa","0.01","026",0.02,20,21,2
"102","ml_papapa_pp_0.01_026_.mpx","papapa","0.01","026",0.05,50,57,4
"103","ml_papapa_pp_0.01_026_.mpx","papapa","0.01","026",0.1,100,123,4
"104","ml_papapa_pp_0.01_026_.mpx","papapa","0.01","026",0.2,200,245,4
"105","ml_papapa_pp_0.01_027_.mpx","papapa","0.01","027",0.02,20,30,5
"106","ml_papapa_pp_0.01_027_.mpx","papapa","0.01","027",0.05,50,64,5
"107","ml_papapa_pp_0.01_027_.mpx","papapa","0.01","027",0.1,100,121,4
"108","ml_papapa_pp_0.01_027_.mpx","papapa","0.01","027",0.2,200,235,4
"109","ml_papapa_pp_0.01_028_.mpx","papapa","0.01","028",0.02,20,20,1
"110","ml_papapa_pp_0.01_028_.mpx","papapa","0.01","028",0.05,50,72,4
"111","ml_papapa_pp_0.01_028_.mpx","papapa","0.01","028",0.1,100,138,6
"112","ml_papapa_pp_0.01_028_.mpx","papapa","0.01","028",0.2,200,253,6
