"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,101,21,0
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,169,51,0
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,258,100,0
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,394,200,0
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,72,21,0
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,130,50,0
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,210,102,0
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,340,200,0
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,107,21,0
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,156,50,0
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,237,101,0
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,376,200,0
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,107,21,0
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,186,51,0
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,258,100,0
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,379,200,0
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,107,21,0
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,174,52,0
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,252,103,0
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,393,200,0
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,105,25,0
"22","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.05,50,168,50,0
"23","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.1,100,251,100,0
"24","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.2,200,388,200,0
"25","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.02,20,85,21,0
"26","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.05,50,172,50,0
"27","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.1,100,258,100,0
"28","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.2,200,380,200,0
"29","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.02,20,90,21,0
"30","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.05,50,141,51,0
"31","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.1,100,212,100,0
"32","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.2,200,342,200,0
"33","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.02,20,112,21,0
"34","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.05,50,184,51,0
"35","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.1,100,260,101,0
"36","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.2,200,381,202,0
"37","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.02,20,90,22,0
"38","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.05,50,168,50,0
"39","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.1,100,254,101,0
"40","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.2,200,381,200,0
"41","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.02,20,109,21,0
"42","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.05,50,161,50,0
"43","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.1,100,242,101,0
"44","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.2,200,364,200,0
"45","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.02,20,124,23,0
"46","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.05,50,181,51,0
"47","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.1,100,264,101,0
"48","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.2,200,394,200,0
"49","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.02,20,106,21,0
"50","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.05,50,166,51,0
"51","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.1,100,244,100,0
"52","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.2,200,370,200,0
"53","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.02,20,108,20,0
"54","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.05,50,161,51,0
"55","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.1,100,246,100,0
"56","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.2,200,375,200,0
"57","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.02,20,64,21,0
"58","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.05,50,139,50,0
"59","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.1,100,235,100,0
"60","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.2,200,372,200,0
"61","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.02,20,104,22,0
"62","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.05,50,170,51,0
"63","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.1,100,247,101,0
"64","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.2,200,376,200,0
"65","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.02,20,96,21,0
"66","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.05,50,167,50,0
"67","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.1,100,253,100,0
"68","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.2,200,375,200,0
"69","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.02,20,73,20,0
"70","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.05,50,136,51,0
"71","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.1,100,220,101,0
"72","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.2,200,342,200,0
"73","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.02,20,81,21,0
"74","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.05,50,167,51,0
