"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,102,65,0
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,174,122,0
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,260,201,0
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,395,333,0
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,74,50,0
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,132,103,0
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,211,175,0
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,341,299,0
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,109,64,0
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,160,108,0
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,241,184,0
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,378,315,0
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,112,63,0
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,188,130,0
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,259,199,0
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,380,318,0
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,107,55,0
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,174,114,0
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,252,189,0
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,393,322,0
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,105,60,0
"22","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.05,50,168,115,0
"23","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.1,100,251,190,0
"24","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.2,200,388,322,0
"25","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.02,20,91,55,0
"26","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.05,50,175,123,0
"27","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.1,100,259,199,0
"28","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.2,200,381,318,0
"29","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.02,20,90,55,0
"30","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.05,50,141,104,0
"31","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.1,100,212,172,0
"32","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.2,200,342,298,0
"33","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.02,20,122,64,0
"34","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.05,50,188,119,0
"35","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.1,100,263,187,0
