"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,86,5
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,146,5
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,214,5
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,326,4
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,61,7
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,120,4
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,180,4
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,292,3
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,98,6
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,145,5
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,203,5
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,320,3
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,98,5
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,156,5
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,219,6
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,309,4
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,103,5
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,148,5
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,207,5
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,324,4
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,105,9
"22","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.05,50,160,7
"23","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.1,100,212,6
"24","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.2,200,335,4
"25","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.02,20,83,8
"26","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.05,50,161,8
"27","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.1,100,223,7
"28","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.2,200,318,4
"29","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.02,20,84,6
"30","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.05,50,123,6
"31","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.1,100,180,5
"32","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.2,200,291,3
"33","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.02,20,106,6
"34","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.05,50,164,6
"35","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.1,100,219,6
"36","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.2,200,320,3
"37","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.02,20,83,5
"38","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.05,50,153,6
"39","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.1,100,206,6
"40","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.2,200,312,5
"41","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.02,20,98,8
"42","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.05,50,132,4
"43","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.1,100,204,3
"44","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.2,200,302,3
"45","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.02,20,101,5
"46","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.05,50,158,5
"47","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.1,100,214,4
"48","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.2,200,337,4
"49","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.02,20,98,6
"50","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.05,50,147,6
"51","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.1,100,212,4
"52","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.2,200,317,4
"53","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.02,20,104,6
"54","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.05,50,142,6
"55","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.1,100,209,5
"56","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.2,200,310,4
"57","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.02,20,64,4
"58","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.05,50,136,4
"59","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.1,100,213,5
"60","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.2,200,316,4
"61","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.02,20,92,6
"62","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.05,50,133,5
"63","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.1,100,212,4
"64","ml_papapapapa_pp_0.01_016_.mpx","papapapapa","0.01","016",0.2,200,317,4
"65","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.02,20,90,7
"66","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.05,50,133,6
"67","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.1,100,208,4
"68","ml_papapapapa_pp_0.01_017_.mpx","papapapapa","0.01","017",0.2,200,302,4
"69","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.02,20,66,5
"70","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.05,50,108,4
"71","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.1,100,181,3
"72","ml_papapapapa_pp_0.01_018_.mpx","papapapapa","0.01","018",0.2,200,290,3
"73","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.02,20,70,5
"74","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.05,50,144,6
"75","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.1,100,219,6
"76","ml_papapapapa_pp_0.01_019_.mpx","papapapapa","0.01","019",0.2,200,307,4
"77","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.02,20,79,6
"78","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.05,50,132,6
"79","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.1,100,199,4
"80","ml_papapapapa_pp_0.01_020_.mpx","papapapapa","0.01","020",0.2,200,303,4
"81","ml_papapapapa_pp_0.01_021_.mpx","papapapapa","0.01","021",0.02,20,106,6
