"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,98,6
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,147,5
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,218,5
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,327,4
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,68,7
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,124,4
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,175,4
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,292,3
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,90,6
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,149,5
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,210,5
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,319,4
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,99,6
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,150,5
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,219,6
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,313,3
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,85,5
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,144,5
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,217,5
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,323,4
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,112,7
"22","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.05,50,157,7
"23","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.1,100,222,6
"24","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.2,200,330,4
"25","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.02,20,78,8
"26","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.05,50,165,10
"27","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.1,100,224,7
"28","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.2,200,320,5
"29","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.02,20,79,6
"30","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.05,50,121,6
"31","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.1,100,177,5
"32","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.2,200,283,5
"33","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.02,20,104,6
"34","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.05,50,164,6
"35","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.1,100,223,5
"36","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.2,200,318,3
"37","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.02,20,79,6
"38","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.05,50,143,6
"39","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.1,100,200,6
"40","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.2,200,315,5
"41","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.02,20,93,8
"42","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.05,50,137,4
"43","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.1,100,201,4
"44","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.2,200,308,4
"45","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.02,20,104,5
"46","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.05,50,158,5
"47","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.1,100,229,4
"48","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.2,200,334,4
"49","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.02,20,91,6
"50","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.05,50,149,6
"51","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.1,100,212,4
"52","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.2,200,316,4
"53","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.02,20,103,6
"54","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.05,50,141,6
"55","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.1,100,205,5
"56","ml_papapapapa_pp_0.01_014_.mpx","papapapapa","0.01","014",0.2,200,318,4
"57","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.02,20,64,4
"58","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.05,50,136,6
"59","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.1,100,215,4
"60","ml_papapapapa_pp_0.01_015_.mpx","papapapapa","0.01","015",0.2,200,319,4
