"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,36,30,0
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,105,82,0
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,191,154,0
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,350,296,0
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,28,28,0
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,70,70,0
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,157,145,0
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,292,274,0
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,44,34,0
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,114,85,0
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,194,160,0
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,335,289,0
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,60,43,0
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,102,83,0
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,190,155,0
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,335,292,0
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,29,25,0
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,106,83,0
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,181,152,0
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,338,294,0
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,49,42,0
