"","network_name","network","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations"
"1","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.02,20,36,4
"2","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.05,50,104,6
"3","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.1,100,186,6
"4","ml_papapapapa_pp_0.01_001_.mpx","papapapapa","0.01","001",0.2,200,333,6
"5","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.02,20,28,4
"6","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.05,50,69,4
"7","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.1,100,155,7
"8","ml_papapapapa_pp_0.01_002_.mpx","papapapapa","0.01","002",0.2,200,282,7
"9","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.02,20,44,7
"10","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.05,50,114,10
"11","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.1,100,183,10
"12","ml_papapapapa_pp_0.01_003_.mpx","papapapapa","0.01","003",0.2,200,315,7
"13","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.02,20,59,7
"14","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.05,50,99,7
"15","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.1,100,184,7
"16","ml_papapapapa_pp_0.01_004_.mpx","papapapapa","0.01","004",0.2,200,308,7
"17","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.02,20,29,3
"18","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.05,50,106,7
"19","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.1,100,172,5
"20","ml_papapapapa_pp_0.01_005_.mpx","papapapapa","0.01","005",0.2,200,319,7
"21","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.02,20,49,6
"22","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.05,50,85,5
"23","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.1,100,154,5
"24","ml_papapapapa_pp_0.01_006_.mpx","papapapapa","0.01","006",0.2,200,318,5
"25","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.02,20,36,8
"26","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.05,50,82,8
"27","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.1,100,192,8
"28","ml_papapapapa_pp_0.01_007_.mpx","papapapapa","0.01","007",0.2,200,305,6
"29","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.02,20,48,6
"30","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.05,50,115,9
"31","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.1,100,175,7
"32","ml_papapapapa_pp_0.01_008_.mpx","papapapapa","0.01","008",0.2,200,295,6
"33","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.02,20,45,6
"34","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.05,50,133,12
"35","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.1,100,193,9
"36","ml_papapapapa_pp_0.01_009_.mpx","papapapapa","0.01","009",0.2,200,312,7
"37","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.02,20,41,4
"38","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.05,50,100,8
"39","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.1,100,183,8
"40","ml_papapapapa_pp_0.01_010_.mpx","papapapapa","0.01","010",0.2,200,307,6
"41","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.02,20,66,9
"42","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.05,50,102,6
"43","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.1,100,175,6
"44","ml_papapapapa_pp_0.01_011_.mpx","papapapapa","0.01","011",0.2,200,293,6
"45","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.02,20,34,7
"46","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.05,50,97,7
"47","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.1,100,182,7
"48","ml_papapapapa_pp_0.01_012_.mpx","papapapapa","0.01","012",0.2,200,315,6
"49","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.02,20,54,10
"50","ml_papapapapa_pp_0.01_013_.mpx","papapapapa","0.01","013",0.05,50,108,9
