"","network_name","network","seeding_strategy","seed_selection_strategy","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"1","ml_arxiv_pp_0.05_001_.mpx","arxiv","sq","degree",0.05,1,0.02,281,3283,284,0
"2","ml_arxiv_pp_0.05_001_.mpx","arxiv","sq","degree",0.05,1,0.05,703,4074,703,0
"3","ml_arxiv_pp_0.05_001_.mpx","arxiv","sq","degree",0.05,1,0.1,1406,5074,1406,0
"4","ml_arxiv_pp_0.05_001_.mpx","arxiv","sq","degree",0.05,1,0.2,2813,6866,2813,0
"5","ml_arxiv_pp_0.05_002_.mpx","arxiv","sq","degree",0.05,2,0.02,281,3205,282,0
"6","ml_arxiv_pp_0.05_002_.mpx","arxiv","sq","degree",0.05,2,0.05,703,4005,703,0
"7","ml_arxiv_pp_0.05_002_.mpx","arxiv","sq","degree",0.05,2,0.1,1406,5017,1406,0
"8","ml_arxiv_pp_0.05_002_.mpx","arxiv","sq","degree",0.05,2,0.2,2813,6776,2813,0
"9","ml_arxiv_pp_0.05_003_.mpx","arxiv","sq","degree",0.05,3,0.02,281,3207,282,0
"10","ml_arxiv_pp_0.05_003_.mpx","arxiv","sq","degree",0.05,3,0.05,703,3959,703,0
"11","ml_arxiv_pp_0.05_003_.mpx","arxiv","sq","degree",0.05,3,0.1,1406,4973,1406,0
"12","ml_arxiv_pp_0.05_003_.mpx","arxiv","sq","degree",0.05,3,0.2,2813,6752,2813,0
"13","ml_arxiv_pp_0.05_004_.mpx","arxiv","sq","degree",0.05,4,0.02,281,3236,283,0
"14","ml_arxiv_pp_0.05_004_.mpx","arxiv","sq","degree",0.05,4,0.05,703,3981,703,0
"15","ml_arxiv_pp_0.05_004_.mpx","arxiv","sq","degree",0.05,4,0.1,1406,5018,1406,0
"16","ml_arxiv_pp_0.05_004_.mpx","arxiv","sq","degree",0.05,4,0.2,2813,6812,2814,0
"17","ml_arxiv_pp_0.05_005_.mpx","arxiv","sq","degree",0.05,5,0.02,281,3304,281,0
"18","ml_arxiv_pp_0.05_005_.mpx","arxiv","sq","degree",0.05,5,0.05,703,4058,703,0
"19","ml_arxiv_pp_0.05_005_.mpx","arxiv","sq","degree",0.05,5,0.1,1406,5112,1406,0
"20","ml_arxiv_pp_0.05_005_.mpx","arxiv","sq","degree",0.05,5,0.2,2813,6887,2813,0
"21","ml_arxiv_pp_0.05_006_.mpx","arxiv","sq","degree",0.05,6,0.02,281,3247,282,0
"22","ml_arxiv_pp_0.05_006_.mpx","arxiv","sq","degree",0.05,6,0.05,703,4014,703,0
"23","ml_arxiv_pp_0.05_006_.mpx","arxiv","sq","degree",0.05,6,0.1,1406,5057,1406,0
"24","ml_arxiv_pp_0.05_006_.mpx","arxiv","sq","degree",0.05,6,0.2,2813,6811,2813,0
"25","ml_arxiv_pp_0.05_007_.mpx","arxiv","sq","degree",0.05,7,0.02,281,3263,284,0
"26","ml_arxiv_pp_0.05_007_.mpx","arxiv","sq","degree",0.05,7,0.05,703,4082,703,0
"27","ml_arxiv_pp_0.05_007_.mpx","arxiv","sq","degree",0.05,7,0.1,1406,5102,1406,0
"28","ml_arxiv_pp_0.05_007_.mpx","arxiv","sq","degree",0.05,7,0.2,2813,6876,2813,0
"29","ml_arxiv_pp_0.05_008_.mpx","arxiv","sq","degree",0.05,8,0.02,281,3171,281,0
"30","ml_arxiv_pp_0.05_008_.mpx","arxiv","sq","degree",0.05,8,0.05,703,3978,705,0
"31","ml_arxiv_pp_0.05_008_.mpx","arxiv","sq","degree",0.05,8,0.1,1406,4987,1406,0
"32","ml_arxiv_pp_0.05_008_.mpx","arxiv","sq","degree",0.05,8,0.2,2813,6781,2813,0
"33","ml_arxiv_pp_0.05_009_.mpx","arxiv","sq","degree",0.05,9,0.02,281,3225,281,0
"34","ml_arxiv_pp_0.05_009_.mpx","arxiv","sq","degree",0.05,9,0.05,703,4001,703,0
